split,feature_group,AUROC,AUPRC,n_feats,n_train,n_test,pos_rate_test
split_variant,AF_LD_SEL,0.7298,0.6556,50,250000,74561,0.3799
split_variant,FST,0.5873,0.4401,1,250000,74561,0.3799
split_variant,POP_DISTANCE,0.6731,0.5523,7,250000,74561,0.3799
split_variant,RG_PROXY,0.7019,0.6092,9,250000,74561,0.3799
split_variant,RG_REAL,0.5738,0.4249,2,250000,74561,0.3799
split_ld_block,AF_LD_SEL,0.6272,0.4700,50,250000,108726,0.3797
split_ld_block,FST,0.5795,0.4260,1,250000,108726,0.3797
split_ld_block,POP_DISTANCE,0.6174,0.4546,7,250000,108726,0.3797
split_ld_block,RG_PROXY,0.6184,0.4631,9,250000,108726,0.3797
split_ld_block,RG_REAL,0.5662,0.4182,2,250000,108726,0.3797
