super_pop,duffy_null_gt,contrast,n,mean_wbc_pgs,sd_wbc_pgs,mean_lo,mean_hi,underpowered,allele_definition,n_hom2,n_lt2
AFR,0,genotype_dose,4,14.952577,0.343472,14.690664,15.239304,True,copies of C (Duffy-null),,
AFR,1,genotype_dose,40,15.154875,0.307928,15.062956,15.255772,False,copies of C (Duffy-null),,
AFR,2,genotype_dose,617,15.255674,0.331196,15.228247,15.280126,False,copies of C (Duffy-null),,
AFR,null_gt_ge1,dominant,657,15.249537,0.330487,15.221556,15.276071,False,copies of C (Duffy-null),,
AFR,null_hom_2,homozygous_vs_lt2,617,15.255674,0.331196,15.228247,15.280126,False,copies of C (Duffy-null),,
AFR,null_lt2,homozygous_vs_lt2,44,15.136484,0.312555,15.050299,15.222805,False,copies of C (Duffy-null),,
AFR,delta_hom2_minus_lt2,homozygous_vs_lt2,661,0.119190,,0.023824,0.205566,False,copies of C (Duffy-null),617.000000,44.000000
EUR,0,genotype_dose,497,14.741031,0.428402,14.704835,14.777021,False,copies of C (Duffy-null),,
EUR,1,genotype_dose,6,14.622468,0.452387,14.352282,14.993142,True,copies of C (Duffy-null),,
EUR,null_gt0,dominant,497,14.741031,0.428402,14.704835,14.777021,False,copies of C (Duffy-null),,
EUR,null_gt_ge1,dominant,6,14.622468,0.452387,14.352282,14.993142,True,copies of C (Duffy-null),,
EUR,null_lt2,homozygous_vs_lt2,503,14.739617,0.428414,14.703859,14.777715,False,copies of C (Duffy-null),,
AMR,0,genotype_dose,299,14.895958,0.400927,14.851056,14.943315,False,copies of C (Duffy-null),,
AMR,1,genotype_dose,42,14.864857,0.406354,14.744203,14.974636,False,copies of C (Duffy-null),,
AMR,2,genotype_dose,6,15.066468,0.255939,14.886164,15.238222,True,copies of C (Duffy-null),,
AMR,null_gt0,dominant,299,14.895958,0.400927,14.851056,14.943315,False,copies of C (Duffy-null),,
AMR,null_gt_ge1,dominant,48,14.890059,0.394402,14.773998,15.011309,False,copies of C (Duffy-null),,
AMR,null_hom_2,homozygous_vs_lt2,6,15.066468,0.255939,14.886164,15.238222,True,copies of C (Duffy-null),,
AMR,null_lt2,homozygous_vs_lt2,341,14.892127,0.401127,14.847490,14.933539,False,copies of C (Duffy-null),,
AMR,delta_hom2_minus_lt2,homozygous_vs_lt2,347,0.174340,,-0.008689,0.374110,False,copies of C (Duffy-null),6.000000,341.000000
EAS,0,genotype_dose,504,14.759533,0.337986,14.728336,14.785090,False,copies of C (Duffy-null),,
EAS,null_gt0,dominant,504,14.759533,0.337986,14.728336,14.785090,False,copies of C (Duffy-null),,
EAS,null_lt2,homozygous_vs_lt2,504,14.759533,0.337986,14.728336,14.785090,False,copies of C (Duffy-null),,
SAS,0,genotype_dose,489,14.793942,0.366548,14.763804,14.824616,False,copies of C (Duffy-null),,
SAS,null_gt0,dominant,489,14.793942,0.366548,14.763804,14.824616,False,copies of C (Duffy-null),,
SAS,null_lt2,homozygous_vs_lt2,489,14.793942,0.366548,14.763804,14.824616,False,copies of C (Duffy-null),,
