pgs_id,mode,trait,status,n_variants_original,n_variants_edited,n_removed,variant_retention,weight_mass_retention,mass_removed,n_af_overlap,n_draws,observed_mad_baseline,observed_mad_edited,observed_mad_reduction,expected_mad_baseline,expected_mad_edited,expected_mad_reduction,delta_vs_random_n,delta_vs_random_mass,empirical_p_n,empirical_p_mass,random_n_mad_reduction_mean,random_mass_mad_reduction_mean,claim
PGS000018,filter_5,T2D,ok,1.74915e+06,1.6617e+06,87457,0.95,0.964326,12.4226,26537,500,,,,0.0252815,0.0117829,0.0134986,-0.0117648,0.0126514,1,0.00199601,0.0252633,0.000847201,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,filter_10,T2D,ok,1.74915e+06,1.57424e+06,174915,0.9,0.934939,22.6554,26537,500,,,,0.0252815,0.0120077,0.0132738,-0.011991,0.0116765,1,0.00399202,0.0252648,0.00159728,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,filter_20,T2D,ok,1.74915e+06,1.39932e+06,349830,0.8,0.876539,42.9917,26537,500,,,,0.0252815,0.00735126,0.0179302,-0.00733415,0.0151703,1,0.00199601,0.0252644,0.00275988,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,reweight_linear,T2D,ok,1.74915e+06,1.74915e+06,0,1,0.694427,106.407,26537,500,,,,0.0252815,0.0252815,0,,-0.00798083,,0.972056,,0.00798083,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,reweight_exp,T2D,ok,1.74915e+06,1.74915e+06,0,1,0.409863,205.497,26537,500,,,,0.0252815,0.0252815,0,,-0.0146512,,1,,0.0146512,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,flag,T2D,ok,1.74915e+06,1.74915e+06,0,1,1,0,26537,500,,,,0.0252815,0.0252815,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,fst,T2D,ok,1.74915e+06,1.57424e+06,174915,0.9,0.922734,26.9056,26537,500,,,,0.0252815,0.0168938,0.00838771,-0.0168775,0.00647764,1,0.0758483,0.0252652,0.00191007,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,ld,T2D,ok,1.74915e+06,1.57424e+06,174915,0.9,0.926794,25.4918,26537,500,,,,0.0252815,0.0095916,0.0156899,-0.00957282,0.0137842,1,0.00199601,0.0252627,0.00190567,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,maf,T2D,ok,1.74915e+06,1.57424e+06,174915,0.9,0.81843,63.2265,26537,500,,,,0.0252815,0.0249626,0.000318884,-0.0249459,-0.00421525,1,0.88024,0.0252648,0.00453414,ancestry_mean_separation_vs_matched_random_af_expected
PGS000018,duffy_gate,T2D,ok,1.74915e+06,1.74894e+06,210,0.99988,0.999877,0.0428394,26537,500,,,,0.0252815,0.0252815,0,-0.000200583,-5.70265e-07,0.602794,0.526946,0.000200583,5.70265e-07,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,filter_5,CAD,ok,1.29049e+06,1.22596e+06,64524,0.95,0.977232,4.20455,18775,500,,,,0.0457025,0.041688,0.00401444,-0.0416627,0.00295437,1,0.00199601,0.0456771,0.00106007,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,filter_10,CAD,ok,1.29049e+06,1.16144e+06,129048,0.9,0.954064,8.48279,18775,500,,,,0.0457025,0.0366925,0.00900999,-0.0366703,0.00685816,1,0.00199601,0.0456803,0.00215183,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,filter_20,CAD,ok,1.29049e+06,1.03239e+06,258097,0.8,0.906752,17.2197,18775,500,,,,0.0457025,0.0351296,0.0105729,-0.035111,0.00631574,1,0.00199601,0.0456839,0.00425718,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,reweight_linear,CAD,ok,1.29049e+06,1.29049e+06,0,1,0.684049,58.3453,18775,500,,,,0.0457025,0.0457025,0,,-0.0143032,,1,,0.0143032,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,reweight_exp,CAD,ok,1.29049e+06,1.29049e+06,0,1,0.412175,108.551,18775,500,,,,0.0457025,0.0457025,0,,-0.0269352,,1,,0.0269352,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,flag,CAD,ok,1.29049e+06,1.29049e+06,0,1,1,0,18775,500,,,,0.0457025,0.0457025,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,fst,CAD,ok,1.29049e+06,1.16144e+06,129048,0.9,0.907511,17.0796,18775,500,,,,0.0457025,0.0320677,0.0136348,-0.0320465,0.00937277,1,0.00199601,0.0456813,0.00426203,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,ld,CAD,ok,1.29049e+06,1.16144e+06,129048,0.9,0.954909,8.32683,18775,500,,,,0.0457025,0.0416768,0.00402565,-0.0416552,0.00200109,1,0.0139721,0.0456809,0.00202456,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,maf,CAD,ok,1.29049e+06,1.16144e+06,129048,0.9,0.650529,64.5355,18775,500,,,,0.0457025,0.0363161,0.00938634,-0.036295,-0.00659998,1,1,0.0456813,0.0159863,ancestry_mean_separation_vs_matched_random_af_expected
PGS004696,duffy_gate,CAD,ok,1.29049e+06,1.2903e+06,181,0.99986,0.999721,0.0514902,18775,500,,,,0.0457025,0.0457025,0,-0.000418437,-2.09068e-05,0.824351,0.612774,0.000418437,2.09068e-05,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,filter_5,CAD,ok,527842,501450,26392,0.95,0.985798,340.765,8705,500,,,,5.38176,4.95781,0.423948,-4.95533,0.345783,1,0.00199601,5.37927,0.0781648,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,filter_10,CAD,ok,527842,475058,52784,0.9,0.97264,656.485,8705,500,,,,5.38176,4.71237,0.669384,-4.71013,0.519778,1,0.00199601,5.37951,0.149607,ancestry_mean_separation_vs_matched_random_af_expected
