target,split,subset,feature_group,n_feats,model,n_train,n_test,pos_rate_test,AUROC,AUPRC,F1,balACC,ECE
y_high_I2,split_variant,associated,FST,1,logreg,63988,14106,0.3423,0.5725,0.3829,0.4018,0.5412,0.1562
y_high_I2,split_variant,associated,FST,1,hgb,63988,14106,0.3423,0.5847,0.4070,0.0383,0.5050,0.0065
y_high_I2,split_variant,associated,AF,19,logreg,63988,14106,0.3423,0.6192,0.4360,0.4988,0.5841,0.1533
y_high_I2,split_variant,associated,AF,19,hgb,63988,14106,0.3423,0.7823,0.6841,0.5209,0.6639,0.0515
y_high_I2,split_variant,associated,LD,9,logreg,63988,14106,0.3423,0.6298,0.4567,0.5084,0.5952,0.1525
y_high_I2,split_variant,associated,LD,9,hgb,63988,14106,0.3423,0.7715,0.6766,0.4890,0.6491,0.0501
y_high_I2,split_variant,associated,SEL,22,logreg,63988,14106,0.3423,0.6248,0.4432,0.4973,0.5930,0.1517
y_high_I2,split_variant,associated,SEL,22,hgb,63988,14106,0.3423,0.7843,0.6854,0.5103,0.6589,0.0560
y_high_I2,split_variant,associated,AF_LD,28,logreg,63988,14106,0.3423,0.6369,0.4695,0.5143,0.6003,0.1518
y_high_I2,split_variant,associated,AF_LD,28,hgb,63988,14106,0.3423,0.8088,0.7198,0.5579,0.6844,0.0507
y_high_I2,split_variant,associated,AF_SEL,41,logreg,63988,14106,0.3423,0.6383,0.4638,0.5173,0.6062,0.1508
y_high_I2,split_variant,associated,AF_SEL,41,hgb,63988,14106,0.3423,0.8030,0.7145,0.5677,0.6886,0.0556
y_high_I2,split_variant,associated,LD_SEL,31,logreg,63988,14106,0.3423,0.6428,0.4742,0.5162,0.6048,0.1498
y_high_I2,split_variant,associated,LD_SEL,31,hgb,63988,14106,0.3423,0.8118,0.7278,0.5625,0.6877,0.0560
y_high_I2,split_variant,associated,AF_LD_SEL,50,logreg,63988,14106,0.3423,0.6499,0.4839,0.5312,0.6186,0.1494
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,63988,14106,0.3423,0.8209,0.7363,0.5804,0.6965,0.0535
