target,split,subset,feature_group,n_feats,model,n_train,n_test,pos_rate_test,AUROC,AUPRC,F1,balACC,ECE
y_high_I2,split_variant,all,FST,1,logreg,363059,77797,0.1969,0.5530,0.2191,0.2786,0.5256,0.3018
y_high_I2,split_variant,all,FST,1,hgb,363059,77797,0.1969,0.5573,0.2256,0.0000,0.5000,0.0031
y_high_I2,split_variant,all,AF,19,logreg,363059,77797,0.1969,0.5618,0.2251,0.3305,0.5440,0.2981
y_high_I2,split_variant,all,AF,19,hgb,363059,77797,0.1969,0.6491,0.3369,0.0435,0.5100,0.0188
y_high_I2,split_variant,all,LD,9,logreg,363059,77797,0.1969,0.5704,0.2393,0.3368,0.5489,0.2969
y_high_I2,split_variant,all,LD,9,hgb,363059,77797,0.1969,0.6396,0.3267,0.0434,0.5100,0.0145
y_high_I2,split_variant,all,SEL,22,logreg,363059,77797,0.1969,0.5613,0.2255,0.3133,0.5415,0.2995
y_high_I2,split_variant,all,SEL,22,hgb,363059,77797,0.1969,0.6595,0.3490,0.0538,0.5124,0.0216
y_high_I2,split_variant,all,AF_LD,28,logreg,363059,77797,0.1969,0.5709,0.2426,0.3339,0.5490,0.2968
y_high_I2,split_variant,all,AF_LD,28,hgb,363059,77797,0.1969,0.6677,0.3578,0.0643,0.5150,0.0211
y_high_I2,split_variant,all,AF_SEL,41,logreg,363059,77797,0.1969,0.5700,0.2346,0.3278,0.5464,0.2973
y_high_I2,split_variant,all,AF_SEL,41,hgb,363059,77797,0.1969,0.6694,0.3611,0.0628,0.5147,0.0233
y_high_I2,split_variant,all,LD_SEL,31,logreg,363059,77797,0.1969,0.5719,0.2422,0.3345,0.5517,0.2966
y_high_I2,split_variant,all,LD_SEL,31,hgb,363059,77797,0.1969,0.6745,0.3644,0.0715,0.5167,0.0246
y_high_I2,split_variant,all,AF_LD_SEL,50,logreg,363059,77797,0.1969,0.5759,0.2478,0.3312,0.5508,0.2962
y_high_I2,split_variant,all,AF_LD_SEL,50,hgb,363059,77797,0.1969,0.6786,0.3692,0.0746,0.5175,0.0236
y_high_I2,split_trait,all,FST,1,logreg,259678,129482,0.1647,0.5768,0.1956,0.2698,0.5437,0.3349
