target,split,subset,feature_group,n_feats,model,n_train,n_test,pos_rate_test,AUROC,AUPRC,F1,balACC,ECE
y_high_I2,split_variant,associated,FST,1,logreg,2120123,453619,0.3796,0.5727,0.4223,0.4163,0.5386,0.1195
y_high_I2,split_variant,associated,FST,1,hgb,2120123,453619,0.3796,0.5756,0.4288,0.0000,0.5000,0.0005
y_high_I2,split_variant,associated,AF,19,logreg,2120123,453619,0.3796,0.6191,0.4617,0.5545,0.5993,0.1152
y_high_I2,split_variant,associated,AF,19,hgb,2120123,453619,0.3796,0.6628,0.5454,0.2502,0.5514,0.0205
y_high_I2,split_variant,associated,LD,9,logreg,2120123,453619,0.3796,0.6181,0.4634,0.5625,0.5875,0.1162
y_high_I2,split_variant,associated,LD,9,hgb,2120123,453619,0.3796,0.6555,0.5443,0.2887,0.5604,0.0164
y_high_I2,split_variant,associated,SEL,22,logreg,2120123,453619,0.3796,0.6205,0.4665,0.5234,0.5928,0.1155
y_high_I2,split_variant,associated,SEL,22,hgb,2120123,453619,0.3796,0.6668,0.5554,0.2845,0.5610,0.0218
y_high_I2,split_variant,associated,AF_LD,28,logreg,2120123,453619,0.3796,0.6275,0.4780,0.5523,0.6007,0.1147
y_high_I2,split_variant,associated,AF_LD,28,hgb,2120123,453619,0.3796,0.6796,0.5789,0.3638,0.5841,0.0231
y_high_I2,split_variant,associated,AF_SEL,41,logreg,2120123,453619,0.3796,0.6256,0.4711,0.5515,0.6034,0.1146
y_high_I2,split_variant,associated,AF_SEL,41,hgb,2120123,453619,0.3796,0.6765,0.5701,0.3384,0.5765,0.0268
y_high_I2,split_variant,associated,LD_SEL,31,logreg,2120123,453619,0.3796,0.6306,0.4821,0.5459,0.6015,0.1144
y_high_I2,split_variant,associated,LD_SEL,31,hgb,2120123,453619,0.3796,0.6824,0.5847,0.3526,0.5837,0.0252
y_high_I2,split_variant,associated,AF_LD_SEL,50,logreg,2120123,453619,0.3796,0.6330,0.4862,0.5509,0.6043,0.1142
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,2120123,453619,0.3796,0.6869,0.5895,0.3845,0.5923,0.0254
