target,split,subset,feature_group,n_feats,model,pearson_r,spearman_rho,RMSE,MAE
I2,split_variant,associated,FST,1,ridge,0.1383,0.1839,0.2540,0.2203
I2,split_variant,associated,FST,1,hgb,0.1897,0.1940,0.2518,0.2169
I2,split_variant,associated,AF,19,ridge,0.2697,0.2661,0.2470,0.2110
I2,split_variant,associated,AF,19,hgb,0.5110,0.4577,0.2221,0.1866
I2,split_variant,associated,LD,9,ridge,0.2520,0.2523,0.2482,0.2123
I2,split_variant,associated,LD,9,hgb,0.4945,0.4466,0.2242,0.1878
I2,split_variant,associated,SEL,22,ridge,0.2743,0.2707,0.2466,0.2107
I2,split_variant,associated,SEL,22,hgb,0.5338,0.4800,0.2186,0.1834
I2,split_variant,associated,AF_LD,28,ridge,0.2955,0.2810,0.2450,0.2086
I2,split_variant,associated,AF_LD,28,hgb,0.5622,0.5076,0.2137,0.1771
I2,split_variant,associated,AF_SEL,41,ridge,0.2880,0.2789,0.2456,0.2095
I2,split_variant,associated,AF_SEL,41,hgb,0.5623,0.5048,0.2139,0.1783
I2,split_variant,associated,LD_SEL,31,ridge,0.3022,0.2891,0.2445,0.2079
I2,split_variant,associated,LD_SEL,31,hgb,0.5738,0.5153,0.2118,0.1758
I2,split_variant,associated,AF_LD_SEL,50,ridge,0.3151,0.2937,0.2434,0.2068
I2,split_variant,associated,AF_LD_SEL,50,hgb,0.5862,0.5268,0.2094,0.1730
