target,split,subset,feature_group,n_feats,model,pearson_r,spearman_rho,RMSE,MAE
I2,split_variant,all,FST,1,ridge,0.0573,0.1098,0.1846,0.1453
I2,split_variant,all,FST,1,hgb,0.0958,0.1157,0.1840,0.1440
I2,split_variant,all,AF,19,ridge,0.1042,0.1315,0.1839,0.1437
I2,split_variant,all,AF,19,hgb,0.2523,0.2343,0.1793,0.1391
I2,split_variant,all,LD,9,ridge,0.1182,0.1440,0.1836,0.1433
I2,split_variant,all,LD,9,hgb,0.2503,0.2282,0.1793,0.1393
I2,split_variant,all,SEL,22,ridge,0.0911,0.1237,0.1841,0.1443
I2,split_variant,all,SEL,22,hgb,0.2735,0.2537,0.1782,0.1381
I2,split_variant,all,AF_LD,28,ridge,0.1222,0.1450,0.1835,0.1432
I2,split_variant,all,AF_LD,28,hgb,0.2843,0.2600,0.1776,0.1373
I2,split_variant,all,AF_SEL,41,ridge,0.1150,0.1401,0.1837,0.1434
I2,split_variant,all,AF_SEL,41,hgb,0.2875,0.2638,0.1775,0.1373
I2,split_variant,all,LD_SEL,31,ridge,0.1224,0.1445,0.1835,0.1431
I2,split_variant,all,LD_SEL,31,hgb,0.2955,0.2696,0.1770,0.1368
I2,split_variant,all,AF_LD_SEL,50,ridge,0.1288,0.1484,0.1833,0.1430
I2,split_variant,all,AF_LD_SEL,50,hgb,0.3025,0.2763,0.1766,0.1363
I2,split_trait,all,FST,1,ridge,0.0889,0.1416,0.1712,0.1397
I2,split_trait,all,FST,1,hgb,0.0892,0.1072,0.1709,0.1390
I2,split_trait,all,AF,19,ridge,0.1218,0.1479,0.1705,0.1385
I2,split_trait,all,AF,19,hgb,0.0471,0.0934,0.1743,0.1389
I2,split_trait,all,LD,9,ridge,0.0920,0.1337,0.1709,0.1387
I2,split_trait,all,LD,9,hgb,0.0297,0.0916,0.1755,0.1394
I2,split_trait,all,SEL,22,ridge,0.1134,0.1435,0.1707,0.1390
I2,split_trait,all,SEL,22,hgb,0.0515,0.0896,0.1747,0.1389
I2,split_trait,all,AF_LD,28,ridge,0.0963,0.1355,0.1708,0.1386
I2,split_trait,all,AF_LD,28,hgb,0.0399,0.0862,0.1765,0.1393
I2,split_trait,all,AF_SEL,41,ridge,0.1254,0.1523,0.1704,0.1384
I2,split_trait,all,AF_SEL,41,hgb,0.0533,0.0867,0.1754,0.1388
I2,split_trait,all,LD_SEL,31,ridge,0.0938,0.1331,0.1709,0.1387
I2,split_trait,all,LD_SEL,31,hgb,0.0384,0.0826,0.1768,0.1393
I2,split_trait,all,AF_LD_SEL,50,ridge,0.0981,0.1371,0.1708,0.1386
I2,split_trait,all,AF_LD_SEL,50,hgb,0.0428,0.0847,0.1770,0.1392
I2,split_variant,associated,FST,1,ridge,0.0878,0.1484,0.2325,0.1957
I2,split_variant,associated,FST,1,hgb,0.1937,0.1820,0.2290,0.1902
I2,split_variant,associated,AF,19,ridge,0.2712,0.2575,0.2246,0.1853
I2,split_variant,associated,AF,19,hgb,0.5934,0.5227,0.1888,0.1475
I2,split_variant,associated,LD,9,ridge,0.2442,0.2535,0.2263,0.1867
I2,split_variant,associated,LD,9,hgb,0.5650,0.4884,0.1934,0.1524
I2,split_variant,associated,SEL,22,ridge,0.2789,0.2527,0.2241,0.1860
I2,split_variant,associated,SEL,22,hgb,0.5937,0.5271,0.1884,0.1466
I2,split_variant,associated,AF_LD,28,ridge,0.3043,0.2762,0.2223,0.1825
I2,split_variant,associated,AF_LD,28,hgb,0.6237,0.5521,0.1835,0.1415
I2,split_variant,associated,AF_SEL,41,ridge,0.3238,0.2887,0.2208,0.1817
I2,split_variant,associated,AF_SEL,41,hgb,0.6202,0.5526,0.1838,0.1410
I2,split_variant,associated,LD_SEL,31,ridge,0.3183,0.2898,0.2212,0.1817
I2,split_variant,associated,LD_SEL,31,hgb,0.6281,0.5498,0.1826,0.1407
I2,split_variant,associated,AF_LD_SEL,50,ridge,0.3426,0.3007,0.2192,0.1796
I2,split_variant,associated,AF_LD_SEL,50,hgb,0.6401,0.5650,0.1803,0.1380
I2,split_trait,associated,FST,1,ridge,0.1833,0.2203,0.2271,0.1906
I2,split_trait,associated,FST,1,hgb,0.0308,0.0555,0.2326,0.1905
I2,split_trait,associated,AF,19,ridge,0.2184,0.2222,0.2219,0.1829
I2,split_trait,associated,AF,19,hgb,0.0199,0.0257,0.2474,0.1927
I2,split_trait,associated,LD,9,ridge,0.1265,0.2102,0.2254,0.1844
I2,split_trait,associated,LD,9,hgb,-0.0003,-0.0005,0.2485,0.1929
I2,split_trait,associated,SEL,22,ridge,0.1783,0.1551,0.2240,0.1866
I2,split_trait,associated,SEL,22,hgb,0.0048,0.0142,0.2490,0.1945
I2,split_trait,associated,AF_LD,28,ridge,0.1968,0.2206,0.2230,0.1801
I2,split_trait,associated,AF_LD,28,hgb,0.0215,0.0335,0.2480,0.1924
I2,split_trait,associated,AF_SEL,41,ridge,0.1620,0.1743,0.2254,0.1858
I2,split_trait,associated,AF_SEL,41,hgb,0.0256,0.0494,0.2474,0.1928
I2,split_trait,associated,LD_SEL,31,ridge,0.1929,0.1944,0.2232,0.1823
I2,split_trait,associated,LD_SEL,31,hgb,0.0228,0.0322,0.2494,0.1936
I2,split_trait,associated,AF_LD_SEL,50,ridge,0.1750,0.1850,0.2250,0.1826
I2,split_trait,associated,AF_LD_SEL,50,hgb,0.0508,0.0677,0.2455,0.1915
