target,split,subset,feature_group,n_feats,model,pearson_r,spearman_rho,RMSE,MAE
I2,split_variant,associated,FST,1,ridge,0.0852,0.1421,0.2595,0.2252
I2,split_variant,associated,FST,1,hgb,0.1543,0.1469,0.2573,0.2217
I2,split_variant,associated,AF,19,ridge,0.2291,0.2322,0.2535,0.2169
I2,split_variant,associated,AF,19,hgb,0.3226,0.3091,0.2468,0.2107
I2,split_variant,associated,LD,9,ridge,0.2301,0.2429,0.2534,0.2173
I2,split_variant,associated,LD,9,hgb,0.3286,0.3008,0.2462,0.2102
I2,split_variant,associated,SEL,22,ridge,0.2298,0.2337,0.2535,0.2174
I2,split_variant,associated,SEL,22,hgb,0.3484,0.3182,0.2447,0.2095
I2,split_variant,associated,AF_LD,28,ridge,0.2596,0.2564,0.2515,0.2151
I2,split_variant,associated,AF_LD,28,hgb,0.3777,0.3427,0.2416,0.2055
I2,split_variant,associated,AF_SEL,41,ridge,0.2453,0.2459,0.2525,0.2158
I2,split_variant,associated,AF_SEL,41,hgb,0.3641,0.3315,0.2431,0.2078
I2,split_variant,associated,LD_SEL,31,ridge,0.2650,0.2614,0.2511,0.2147
I2,split_variant,associated,LD_SEL,31,hgb,0.3884,0.3470,0.2407,0.2053
I2,split_variant,associated,AF_LD_SEL,50,ridge,0.2713,0.2648,0.2507,0.2141
I2,split_variant,associated,AF_LD_SEL,50,hgb,0.3993,0.3564,0.2394,0.2039
