split,subset,feature_group,model,macro_F1,weighted_F1,balACC
split_variant,all,FST,hgb,0.4262,0.7038,0.4307
split_variant,all,AF,hgb,0.4597,0.7166,0.4659
split_variant,all,LD,hgb,0.4397,0.7088,0.4442
split_variant,all,SEL,hgb,0.4734,0.7256,0.4705
split_variant,all,AF_LD,hgb,0.4635,0.7181,0.4693
split_variant,all,AF_SEL,hgb,0.4738,0.7258,0.4703
split_variant,all,LD_SEL,hgb,0.4747,0.7262,0.4710
split_variant,all,AF_LD_SEL,hgb,0.4759,0.7268,0.4710
split_trait,all,FST,hgb,0.3476,0.6722,0.3657
split_trait,all,AF,hgb,0.4098,0.6963,0.4059
split_trait,all,LD,hgb,0.3537,0.6721,0.3670
split_trait,all,SEL,hgb,0.4669,0.7245,0.4508
split_trait,all,AF_LD,hgb,0.4114,0.6957,0.4058
split_trait,all,AF_SEL,hgb,0.4661,0.7233,0.4496
split_trait,all,LD_SEL,hgb,0.4681,0.7236,0.4507
split_trait,all,AF_LD_SEL,hgb,0.4665,0.7231,0.4499
split_variant,associated,FST,hgb,0.4211,0.6035,0.4402
split_variant,associated,AF,hgb,0.6086,0.7196,0.5862
split_variant,associated,LD,hgb,0.5937,0.7104,0.5729
split_variant,associated,SEL,hgb,0.6165,0.7271,0.5836
split_variant,associated,AF_LD,hgb,0.6323,0.7347,0.6054
split_variant,associated,AF_SEL,hgb,0.6280,0.7340,0.5963
split_variant,associated,LD_SEL,hgb,0.6281,0.7329,0.5966
split_variant,associated,AF_LD_SEL,hgb,0.6228,0.7308,0.5907
split_trait,associated,FST,hgb,0.4632,0.6485,0.4548
split_trait,associated,AF,hgb,0.4903,0.6300,0.4806
split_trait,associated,LD,hgb,0.4714,0.6212,0.4668
split_trait,associated,SEL,hgb,0.4750,0.6223,0.4605
split_trait,associated,AF_LD,hgb,0.4925,0.6390,0.4820
split_trait,associated,AF_SEL,hgb,0.4884,0.6297,0.4729
split_trait,associated,LD_SEL,hgb,0.4800,0.6261,0.4662
split_trait,associated,AF_LD_SEL,hgb,0.4791,0.6319,0.4655
