split,feature_group,AUROC,AUPRC,n_feats,n_train,n_test,device,model
split_ld_block,AF_LD_SEL,0.6202,0.4743,50,391274,108726,cuda,xgboost_hist
split_ld_block,FST,0.5800,0.4278,1,391274,108726,cuda,xgboost_hist
split_ld_block,POP_DISTANCE,0.6114,0.4522,7,391274,108726,cuda,xgboost_hist
split_ld_block,RG_PROXY,0.6138,0.4588,8,391274,108726,cuda,xgboost_hist
split_ld_block,RG_REAL,0.5662,0.4182,2,391274,108726,cuda,xgboost_hist
split_ld_block,VEP_AF,0.5623,0.4118,4,391274,108726,cuda,xgboost_hist
split_ld_block,AF_LD_SEL+VEP_AF,0.6211,0.4779,54,391274,108726,cuda,xgboost_hist
split_variant,AF_LD_SEL,0.8255,0.7794,50,350201,74561,cuda,xgboost_hist
split_variant,FST,0.5906,0.4457,1,350201,74561,cuda,xgboost_hist
split_variant,POP_DISTANCE,0.7377,0.6567,7,350201,74561,cuda,xgboost_hist
split_variant,RG_PROXY,0.7489,0.6767,8,350201,74561,cuda,xgboost_hist
split_variant,RG_REAL,0.5738,0.4249,2,350201,74561,cuda,xgboost_hist
split_variant,VEP_AF,0.5637,0.4130,4,350201,74561,cuda,xgboost_hist
split_variant,AF_LD_SEL+VEP_AF,0.8252,0.7788,54,350201,74561,cuda,xgboost_hist
