heldout_trait,model,AUROC,AUPRC,n_test,n_feats
BMI,random,0.4985,0.3889,178364,
BMI,AF_LD_SEL,0.6784,0.5559,178364,50.0000
BMI,FST,0.5946,0.4533,178364,1.0000
BMI,MAF_proxy,0.6614,0.5141,178364,5.0000
BMI,LD_proxy,0.6472,0.5088,178364,5.0000
CAD,random,0.4990,0.3606,79198,
CAD,AF_LD_SEL,0.6083,0.4417,79198,50.0000
CAD,FST,0.5596,0.4048,79198,1.0000
CAD,MAF_proxy,0.5962,0.4232,79198,5.0000
CAD,LD_proxy,0.5910,0.4196,79198,5.0000
LDL,random,0.4968,0.3326,97942,
LDL,AF_LD_SEL,0.6443,0.4623,97942,50.0000
LDL,FST,0.5851,0.3870,97942,1.0000
LDL,MAF_proxy,0.6339,0.4333,97942,5.0000
LDL,LD_proxy,0.6295,0.4441,97942,5.0000
T2D,random,0.4998,0.4090,144496,
T2D,AF_LD_SEL,0.6076,0.4966,144496,50.0000
T2D,FST,0.5579,0.4491,144496,1.0000
T2D,MAF_proxy,0.5929,0.4738,144496,5.0000
T2D,LD_proxy,0.5829,0.4667,144496,5.0000
