subset,split,feature_group,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi,ECE,n_test,pos_rate,base_group
all,split_variant,FST,0.5573,0.5524,0.5612,0.2256,0.2218,0.2293,0.0031,77797,0.1969,
all,split_variant,PERMUTED,0.5012,0.4951,0.5058,0.1942,0.1912,0.1974,0.0049,77797,0.1969,FST
all,split_variant,AF_LD,0.6627,0.6588,0.6670,0.3528,0.3455,0.3592,0.0200,77797,0.1969,
all,split_variant,PERMUTED,0.4934,0.4886,0.4989,0.1986,0.1955,0.2026,0.0044,77797,0.1969,AF_LD
all,split_variant,AF_LD_SEL,0.6734,0.6703,0.6780,0.3649,0.3586,0.3723,0.0235,77797,0.1969,
all,split_variant,PERMUTED,0.5077,0.5020,0.5129,0.2050,0.2008,0.2087,0.0072,77797,0.1969,AF_LD_SEL
all,split_trait,FST,0.5615,0.5571,0.5664,0.1841,0.1811,0.1876,0.0475,129482,0.1647,
all,split_trait,PERMUTED,0.4884,0.4843,0.4926,0.1622,0.1594,0.1654,0.0476,129482,0.1647,FST
all,split_trait,AF_LD,0.5444,0.5395,0.5488,0.1858,0.1830,0.1889,0.0584,129482,0.1647,
all,split_trait,PERMUTED,0.4714,0.4672,0.4746,0.1515,0.1487,0.1538,0.0476,129482,0.1647,AF_LD
all,split_trait,AF_LD_SEL,0.5470,0.5430,0.5518,0.1889,0.1855,0.1917,0.0577,129482,0.1647,
all,split_trait,PERMUTED,0.4763,0.4725,0.4806,0.1574,0.1552,0.1601,0.0480,129482,0.1647,AF_LD_SEL
all,split_source,FST,0.5163,0.5135,0.5184,0.2320,0.2301,0.2341,0.0757,370633,0.2262,
all,split_source,PERMUTED,0.5025,0.5001,0.5047,0.2281,0.2262,0.2296,0.0951,370633,0.2262,FST
all,split_source,AF_LD,0.5258,0.5238,0.5277,0.2448,0.2427,0.2467,0.0894,370633,0.2262,
all,split_source,PERMUTED,0.4860,0.4835,0.4880,0.2238,0.2223,0.2254,0.0961,370633,0.2262,AF_LD
all,split_source,AF_LD_SEL,0.5322,0.5302,0.5343,0.2509,0.2485,0.2531,0.0872,370633,0.2262,
all,split_source,PERMUTED,0.4959,0.4934,0.4977,0.2314,0.2297,0.2329,0.0941,370633,0.2262,AF_LD_SEL
associated,split_variant,FST,0.6034,0.5896,0.6166,0.3702,0.3530,0.3855,0.0131,6340,0.2968,
associated,split_variant,PERMUTED,0.4808,0.4649,0.4928,0.2974,0.2813,0.3142,0.0127,6340,0.2968,FST
associated,split_variant,AF_LD,0.8309,0.8215,0.8440,0.7252,0.7103,0.7442,0.0445,6340,0.2968,
associated,split_variant,PERMUTED,0.5099,0.4951,0.5284,0.2998,0.2857,0.3176,0.0109,6340,0.2968,AF_LD
associated,split_variant,AF_LD_SEL,0.8423,0.8314,0.8509,0.7382,0.7166,0.7545,0.0490,6340,0.2968,
associated,split_variant,PERMUTED,0.4754,0.4620,0.4877,0.2855,0.2674,0.3032,0.0202,6340,0.2968,AF_LD_SEL
associated,split_trait,FST,0.5278,0.5162,0.5373,0.2569,0.2492,0.2654,0.0782,14051,0.2509,
associated,split_trait,PERMUTED,0.5121,0.5023,0.5225,0.2595,0.2502,0.2695,0.0591,14051,0.2509,FST
associated,split_trait,AF_LD,0.4921,0.4808,0.5020,0.2488,0.2405,0.2618,0.1426,14051,0.2509,
associated,split_trait,PERMUTED,0.5545,0.5454,0.5679,0.2979,0.2846,0.3095,0.0593,14051,0.2509,AF_LD
associated,split_trait,AF_LD_SEL,0.4971,0.4861,0.5070,0.2530,0.2447,0.2628,0.1408,14051,0.2509,
associated,split_trait,PERMUTED,0.4896,0.4793,0.4993,0.2475,0.2393,0.2596,0.0607,14051,0.2509,AF_LD_SEL
associated,split_source,FST,0.5031,0.4967,0.5104,0.3672,0.3598,0.3768,0.2015,29377,0.3658,
associated,split_source,PERMUTED,0.4950,0.4882,0.5018,0.3650,0.3576,0.3722,0.2174,29377,0.3658,FST
associated,split_source,AF_LD,0.5501,0.5448,0.5572,0.4539,0.4452,0.4631,0.2082,29377,0.3658,
associated,split_source,PERMUTED,0.5231,0.5168,0.5298,0.3865,0.3787,0.3951,0.2169,29377,0.3658,AF_LD
associated,split_source,AF_LD_SEL,0.5435,0.5366,0.5511,0.4553,0.4460,0.4633,0.2161,29377,0.3658,
associated,split_source,PERMUTED,0.4782,0.4706,0.4841,0.3542,0.3463,0.3631,0.2208,29377,0.3658,AF_LD_SEL
