subset,split,feature_group,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi,ECE,n_test,pos_rate,base_group
associated,split_variant,FST,0.5756,0.5744,0.5776,0.4288,0.4273,0.4312,0.0005,453619,0.3796,
associated,split_variant,PERMUTED,0.5034,0.5021,0.5056,0.3868,0.3852,0.3887,0.0000,453619,0.3796,FST
associated,split_variant,AF_LD,0.6761,0.6746,0.6774,0.5729,0.5708,0.5762,0.0212,453619,0.3796,
associated,split_variant,PERMUTED,0.5191,0.5175,0.5207,0.3841,0.3824,0.3863,0.0000,453619,0.3796,AF_LD
associated,split_variant,AF_LD_SEL,0.6830,0.6819,0.6845,0.5833,0.5814,0.5849,0.0238,453619,0.3796,
associated,split_variant,PERMUTED,0.4698,0.4680,0.4711,0.3747,0.3726,0.3758,0.0000,453619,0.3796,AF_LD_SEL
associated,split_trait,FST,0.5748,0.5733,0.5761,0.4328,0.4312,0.4344,0.1001,866413,0.3872,
associated,split_trait,PERMUTED,0.4800,0.4788,0.4812,0.3701,0.3690,0.3708,0.0949,866413,0.3872,FST
associated,split_trait,AF_LD,0.6169,0.6158,0.6179,0.4989,0.4975,0.5007,0.1056,866413,0.3872,
associated,split_trait,PERMUTED,0.5533,0.5520,0.5543,0.4211,0.4193,0.4220,0.0950,866413,0.3872,AF_LD
associated,split_trait,AF_LD_SEL,0.6126,0.6112,0.6139,0.5035,0.5017,0.5054,0.1063,866413,0.3872,
associated,split_trait,PERMUTED,0.5135,0.5125,0.5146,0.3937,0.3926,0.3948,0.0950,866413,0.3872,AF_LD_SEL
associated,split_source,FST,0.5528,0.5522,0.5532,0.4251,0.4245,0.4260,0.2309,2862432,0.3945,
associated,split_source,PERMUTED,0.5011,0.5004,0.5016,0.3924,0.3917,0.3932,0.2722,2862432,0.3945,FST
associated,split_source,AF_LD,0.5640,0.5634,0.5648,0.4491,0.4484,0.4501,0.2273,2862432,0.3945,
associated,split_source,PERMUTED,0.4479,0.4474,0.4487,0.3723,0.3716,0.3732,0.2737,2862432,0.3945,AF_LD
associated,split_source,AF_LD_SEL,0.5661,0.5656,0.5667,0.4518,0.4508,0.4526,0.2274,2862432,0.3945,
associated,split_source,PERMUTED,0.4835,0.4829,0.4840,0.3915,0.3908,0.3921,0.2715,2862432,0.3945,AF_LD_SEL
