subset,split,feature_group,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi,ECE,n_test,pos_rate,base_group
associated,split_variant,FST,0.5805,0.5786,0.5832,0.4216,0.4193,0.4253,0.0023,175389,0.3704,
associated,split_variant,PERMUTED,0.4953,0.4930,0.4983,0.3766,0.3742,0.3797,0.0008,175389,0.3704,FST
associated,split_variant,AF_LD,0.7046,0.7017,0.7068,0.6143,0.6102,0.6190,0.0372,175389,0.3704,
associated,split_variant,PERMUTED,0.5011,0.4992,0.5040,0.3833,0.3813,0.3869,0.0008,175389,0.3704,AF_LD
associated,split_variant,AF_LD_SEL,0.7121,0.7096,0.7145,0.6249,0.6225,0.6276,0.0382,175389,0.3704,
associated,split_variant,PERMUTED,0.5601,0.5571,0.5632,0.4099,0.4067,0.4141,0.0008,175389,0.3704,AF_LD_SEL
associated,split_source,FST,0.5531,0.5525,0.5543,0.4204,0.4192,0.4217,0.2308,1094129,0.3876,
associated,split_source,PERMUTED,0.4864,0.4855,0.4877,0.3764,0.3754,0.3775,0.2710,1094129,0.3876,FST
associated,split_source,AF_LD,0.5392,0.5384,0.5401,0.4206,0.4194,0.4220,0.2321,1094129,0.3876,
associated,split_source,PERMUTED,0.4627,0.4615,0.4638,0.3744,0.3734,0.3759,0.2713,1094129,0.3876,AF_LD
associated,split_source,AF_LD_SEL,0.5426,0.5417,0.5434,0.4244,0.4232,0.4257,0.2329,1094129,0.3876,
associated,split_source,PERMUTED,0.4867,0.4860,0.4881,0.3934,0.3927,0.3950,0.2704,1094129,0.3876,AF_LD_SEL
