omit_pgs,mode,metric,mean_mad_reduction,median_mad_reduction,n_scores
NONE,duffy_gate,expected_mad_reduction,0,0,9
PGS000014,duffy_gate,expected_mad_reduction,0,0,8
PGS000018,duffy_gate,expected_mad_reduction,0,0,8
PGS002853,duffy_gate,expected_mad_reduction,0,0,8
PGS002858,duffy_gate,expected_mad_reduction,0,0,8
PGS003092,duffy_gate,expected_mad_reduction,0,0,8
PGS003897,duffy_gate,expected_mad_reduction,0,0,8
PGS004696,duffy_gate,expected_mad_reduction,0,0,8
PGS004698,duffy_gate,expected_mad_reduction,0,0,8
PGS004840,duffy_gate,expected_mad_reduction,0,0,8
NONE,filter_10,expected_mad_reduction,0.0791524,0.00445425,9
PGS000014,filter_10,expected_mad_reduction,0.0890029,0.00673212,8
PGS000018,filter_10,expected_mad_reduction,0.0873873,0.00439272,8
PGS002853,filter_10,expected_mad_reduction,0.0884897,0.00667059,8
PGS002858,filter_10,expected_mad_reduction,0.0885051,0.00673212,8
PGS003092,filter_10,expected_mad_reduction,0.0889219,0.00673212,8
PGS003897,filter_10,expected_mad_reduction,0.0877929,0.00439272,8
PGS004696,filter_10,expected_mad_reduction,0.0879202,0.00439272,8
PGS004698,filter_10,expected_mad_reduction,0.00537345,0.00439272,8
PGS004840,filter_10,expected_mad_reduction,0.0889786,0.00673212,8
NONE,filter_20,expected_mad_reduction,0.132953,0.00611502,9
PGS000014,filter_20,expected_mad_reduction,0.149283,0.00823616,8
PGS000018,filter_20,expected_mad_reduction,0.147331,0.00592047,8
PGS002853,filter_20,expected_mad_reduction,0.148856,0.00823616,8
PGS002858,filter_20,expected_mad_reduction,0.148899,0.00823616,8
PGS003092,filter_20,expected_mad_reduction,0.148807,0.00804161,8
PGS003897,filter_20,expected_mad_reduction,0.150235,0.00823616,8
PGS004696,filter_20,expected_mad_reduction,0.14825,0.00592047,8
PGS004698,filter_20,expected_mad_reduction,0.00663686,0.00592047,8
PGS004840,filter_20,expected_mad_reduction,0.148277,0.00592047,8
NONE,filter_5,expected_mad_reduction,0.0523681,0.00325682,9
PGS000014,filter_5,expected_mad_reduction,0.0588191,0.00363563,8
PGS000018,filter_5,expected_mad_reduction,0.0572267,0.00319773,8
PGS002853,filter_5,expected_mad_reduction,0.058507,0.00357654,8
PGS002858,filter_5,expected_mad_reduction,0.0585217,0.00363563,8
PGS003092,filter_5,expected_mad_reduction,0.0588034,0.00363563,8
PGS003897,filter_5,expected_mad_reduction,0.0563927,0.00319773,8
PGS004696,filter_5,expected_mad_reduction,0.0584123,0.00319773,8
PGS004698,filter_5,expected_mad_reduction,0.00592061,0.00319773,8
PGS004840,filter_5,expected_mad_reduction,0.0587091,0.00363563,8
NONE,flag,expected_mad_reduction,0,0,9
PGS000014,flag,expected_mad_reduction,0,0,8
PGS000018,flag,expected_mad_reduction,0,0,8
PGS002853,flag,expected_mad_reduction,0,0,8
PGS002858,flag,expected_mad_reduction,0,0,8
PGS003092,flag,expected_mad_reduction,0,0,8
PGS003897,flag,expected_mad_reduction,0,0,8
PGS004696,flag,expected_mad_reduction,0,0,8
PGS004698,flag,expected_mad_reduction,0,0,8
PGS004840,flag,expected_mad_reduction,0,0,8
NONE,fst,expected_mad_reduction,0.223911,0.0042719,9
PGS000014,fst,expected_mad_reduction,0.251592,0.00522645,8
PGS000018,fst,expected_mad_reduction,0.250851,0.00425366,8
PGS002853,fst,expected_mad_reduction,0.251366,0.0052082,8
PGS002858,fst,expected_mad_reduction,0.25137,0.00522645,8
PGS003092,fst,expected_mad_reduction,0.251127,0.00425366,8
PGS003897,fst,expected_mad_reduction,0.25307,0.00522645,8
