pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS000018,T2D,filter_5,mean_abs_delta_EUR,0.468205783614147,0.519831573965432,-0.051625790351285006,0.051625790351285006,
PGS000018,T2D,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS000018,T2D,filter_5,median_I2_retained,0.0,,,,24662.0
PGS000018,T2D,filter_5,mean_sign_concordance_retained,0.5330771072519511,,,,24662.0
PGS000018,T2D,filter_5,weight_retained_frac,0.9658664943246383,1.0,-0.034133505675361664,0.034133505675361664,
PGS004696,CAD,filter_5,mean_abs_delta_EUR,1.7250501848861832,1.8684781550176606,-0.14342797013147734,0.14342797013147734,
PGS004696,CAD,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS004696,CAD,filter_5,median_I2_retained,0.0,,,,17568.0
PGS004696,CAD,filter_5,mean_sign_concordance_retained,0.535479822621216,,,,17568.0
PGS004696,CAD,filter_5,weight_retained_frac,0.9704218272861227,1.0,-0.029578172713877304,0.029578172713877304,
PGS004698,CAD,filter_5,mean_abs_delta_EUR,2.8183880080186188,2.7056329067310347,0.11275510128758404,-0.11275510128758404,
PGS004698,CAD,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS004698,CAD,filter_5,median_I2_retained,0.0,,,,7081.0
PGS004698,CAD,filter_5,mean_sign_concordance_retained,0.5799907196320133,,,,7081.0
PGS004698,CAD,filter_5,weight_retained_frac,0.9830306212440885,1.0,-0.016969378755911535,0.016969378755911535,
PGS003897,BMI,filter_5,mean_abs_delta_EUR,0.3596420228509468,0.31602912930700666,0.04361289354394016,-0.04361289354394016,
PGS003897,BMI,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS003897,BMI,filter_5,median_I2_retained,0.0,,,,531.0
PGS003897,BMI,filter_5,mean_sign_concordance_retained,0.5404896421845574,,,,531.0
PGS003897,BMI,filter_5,weight_retained_frac,0.9285912739152077,1.0,-0.07140872608479232,0.07140872608479232,
PGS002853,LDL,filter_5,mean_abs_delta_EUR,0.4651247062554573,0.6219105277754151,-0.1567858215199578,0.1567858215199578,
PGS002853,LDL,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS002853,LDL,filter_5,median_I2_retained,0.0,,,,91798.0
PGS002853,LDL,filter_5,mean_sign_concordance_retained,0.5775635997879403,,,,91798.0
PGS002853,LDL,filter_5,weight_retained_frac,0.9675554827035735,1.0,-0.0324445172964265,0.0324445172964265,
PGS002858,LDL,filter_5,mean_abs_delta_EUR,0.5059806850408501,0.6764794315228624,-0.17049874648201224,0.17049874648201224,
PGS002858,LDL,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS002858,LDL,filter_5,median_I2_retained,0.0,,,,91798.0
PGS002858,LDL,filter_5,mean_sign_concordance_retained,0.5775635997879403,,,,91798.0
PGS002858,LDL,filter_5,weight_retained_frac,0.9661290335664542,1.0,-0.03387096643354581,0.03387096643354581,
PGS003092,BMI,filter_5,mean_abs_delta_EUR,0.6528017326361226,0.771490059977999,-0.1186883273418764,0.1186883273418764,
PGS003092,BMI,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS003092,BMI,filter_5,median_I2_retained,0.0,,,,111258.0
PGS003092,BMI,filter_5,mean_sign_concordance_retained,0.5705921200744045,,,,111258.0
PGS003092,BMI,filter_5,weight_retained_frac,0.9741999438154949,1.0,-0.025800056184505094,0.025800056184505094,
PGS000014,CAD,filter_5,mean_abs_delta_EUR,0.7082622826776059,0.7305912609326554,-0.022328978255049425,0.022328978255049425,
PGS000014,CAD,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS000014,CAD,filter_5,median_I2_retained,0.0,,,,88898.0
PGS000014,CAD,filter_5,mean_sign_concordance_retained,0.5315295539350073,,,,88898.0
PGS000014,CAD,filter_5,weight_retained_frac,0.9600294755740397,1.0,-0.039970524425960274,0.039970524425960274,
PGS004840,T2D,filter_5,mean_abs_delta_EUR,0.35732610894555306,0.4531671254126368,-0.09584101646708376,0.09584101646708376,
PGS004840,T2D,filter_5,kendall_w,0.24444444444444444,0.20987654320987653,0.034567901234567905,-0.034567901234567905,
PGS004840,T2D,filter_5,median_I2_retained,0.0,,,,73516.0
PGS004840,T2D,filter_5,mean_sign_concordance_retained,0.5323337452941893,,,,73516.0
PGS004840,T2D,filter_5,weight_retained_frac,0.9482333819823862,1.0,-0.05176661801761384,0.05176661801761384,
PGS000018,T2D,filter_10,mean_abs_delta_EUR,0.49109422418550286,0.519831573965432,-0.028737349779929144,0.028737349779929144,
PGS000018,T2D,filter_10,kendall_w,0.21481481481481482,0.20987654320987653,0.004938271604938288,-0.004938271604938288,
PGS000018,T2D,filter_10,median_I2_retained,0.0,,,,23335.0
PGS000018,T2D,filter_10,mean_sign_concordance_retained,0.5334044507025009,,,,23335.0
PGS000018,T2D,filter_10,weight_retained_frac,0.9316818558674926,1.0,-0.06831814413250736,0.06831814413250736,
PGS004696,CAD,filter_10,mean_abs_delta_EUR,1.6702633101579458,1.8684781550176606,-0.19821484485971474,0.19821484485971474,
PGS004696,CAD,filter_10,kendall_w,0.21481481481481482,0.20987654320987653,0.004938271604938288,-0.004938271604938288,
PGS004696,CAD,filter_10,median_I2_retained,0.0,,,,16629.0
PGS004696,CAD,filter_10,mean_sign_concordance_retained,0.5350897313643119,,,,16629.0
