pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS000018,T2D,filter_5,mean_abs_delta_EUR,0.7513633826740429,0.7190071660432993,0.03235621663074362,-0.03235621663074362,
PGS000018,T2D,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS000018,T2D,filter_5,median_I2_retained,0.0,,,,63685.0
PGS000018,T2D,filter_5,mean_sign_concordance_retained,0.6300448775291443,,,,63685.0
PGS000018,T2D,filter_5,weight_retained_frac,0.9653342006419114,1.0,-0.034665799358088556,0.034665799358088556,
PGS004696,CAD,filter_5,mean_abs_delta_EUR,2.4770310018905906,2.5994430113029185,-0.122412009412328,0.122412009412328,
PGS004696,CAD,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS004696,CAD,filter_5,median_I2_retained,0.0,,,,48355.0
PGS004696,CAD,filter_5,mean_sign_concordance_retained,0.6291363835334778,,,,48355.0
PGS004696,CAD,filter_5,weight_retained_frac,0.9773512417551594,1.0,-0.022648758244840583,0.022648758244840583,
PGS004698,CAD,filter_5,mean_abs_delta_EUR,2.4938926516165307,2.287875058080976,0.2060175935355546,-0.2060175935355546,
PGS004698,CAD,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS004698,CAD,filter_5,median_I2_retained,0.0,,,,33005.0
PGS004698,CAD,filter_5,mean_sign_concordance_retained,0.6386618614196777,,,,33005.0
PGS004698,CAD,filter_5,weight_retained_frac,0.9861291515518623,1.0,-0.013870848448137685,0.013870848448137685,
PGS003897,BMI,filter_5,mean_abs_delta_EUR,0.1850644343347796,0.37614086305643446,-0.19107642872165487,0.19107642872165487,
PGS003897,BMI,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS003897,BMI,filter_5,median_I2_retained,0.33252960443496704,,,,11117.0
PGS003897,BMI,filter_5,mean_sign_concordance_retained,0.5631803274154663,,,,11117.0
PGS003897,BMI,filter_5,weight_retained_frac,0.9377923854685676,1.0,-0.06220761453143242,0.06220761453143242,
PGS002853,LDL,filter_5,mean_abs_delta_EUR,0.48259965022241313,0.45118847641173754,0.0314111738106756,-0.0314111738106756,
PGS002853,LDL,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS002853,LDL,filter_5,median_I2_retained,0.0,,,,391022.0
PGS002853,LDL,filter_5,mean_sign_concordance_retained,0.5924733877182007,,,,391022.0
PGS002853,LDL,filter_5,weight_retained_frac,0.9834828737355448,1.0,-0.01651712626445523,0.01651712626445523,
PGS002858,LDL,filter_5,mean_abs_delta_EUR,0.4397656998813205,0.4849669332315403,-0.04520123335021975,0.04520123335021975,
PGS002858,LDL,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS002858,LDL,filter_5,median_I2_retained,0.0,,,,391025.0
PGS002858,LDL,filter_5,mean_sign_concordance_retained,0.5924729108810425,,,,391025.0
PGS002858,LDL,filter_5,weight_retained_frac,0.9835749711990186,1.0,-0.0164250288009814,0.0164250288009814,
PGS003092,BMI,filter_5,mean_abs_delta_EUR,0.41778552042296235,0.3704443214771145,0.04734119894584787,-0.04734119894584787,
PGS003092,BMI,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS003092,BMI,filter_5,median_I2_retained,0.09336379170417786,,,,797296.0
PGS003092,BMI,filter_5,mean_sign_concordance_retained,0.5845991373062134,,,,797296.0
PGS003092,BMI,filter_5,weight_retained_frac,0.98120451678954,1.0,-0.018795483210459984,0.018795483210459984,
PGS000014,CAD,filter_5,mean_abs_delta_EUR,2.2757929373419965,2.5558140597276946,-0.2800211223856981,0.2800211223856981,
PGS000014,CAD,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS000014,CAD,filter_5,median_I2_retained,0.0,,,,236255.0
PGS000014,CAD,filter_5,mean_sign_concordance_retained,0.6220728754997253,,,,236255.0
PGS000014,CAD,filter_5,weight_retained_frac,0.967963242289563,1.0,-0.032036757710437014,0.032036757710437014,
PGS004840,T2D,filter_5,mean_abs_delta_EUR,1.434123533908686,1.2107554439711516,0.22336808993753432,-0.22336808993753432,
PGS004840,T2D,filter_5,kendall_w,0.056790123456790124,0.01728395061728395,0.03950617283950618,-0.03950617283950618,
PGS004840,T2D,filter_5,median_I2_retained,0.0,,,,330043.0
PGS004840,T2D,filter_5,mean_sign_concordance_retained,0.634701132774353,,,,330043.0
PGS004840,T2D,filter_5,weight_retained_frac,0.9576630429295669,1.0,-0.04233695707043306,0.04233695707043306,
