pgs_id,mode,mad,mad_reduction,weight_mass_retained
PGS000018,filter_5,1.48328,-0.0399128,
PGS004696,filter_5,4.62021,-0.343616,
PGS004698,filter_5,4.27465,-0.61919,
PGS003897,filter_5,0.315559,-0.0748111,
PGS002853,filter_5,0.153949,0.105946,
PGS002858,filter_5,0.169823,0.207704,
PGS003092,filter_5,0.211574,0.136057,
PGS000014,filter_5,3.49883,-2.26557e-05,
PGS004840,filter_5,2.89473,-0.147988,
PGS000018,filter_10,1.48635,-0.0429733,
PGS004696,filter_10,4.61995,-0.343358,
PGS004698,filter_10,4.38199,-0.72653,
PGS003897,filter_10,0.223833,0.0169151,
PGS002853,filter_10,0.247771,0.0121238,
PGS002858,filter_10,0.232895,0.144632,
PGS003092,filter_10,0.348256,-0.000624269,
PGS000014,filter_10,3.49959,-0.0007854,
PGS004840,filter_10,3.01172,-0.264978,
PGS000018,filter_20,1.2257,0.217668,
PGS004696,filter_20,4.66399,-0.387396,
PGS004698,filter_20,4.35033,-0.694871,
PGS003897,filter_20,0.330566,-0.0898181,
PGS002853,filter_20,0.189505,0.0703904,
PGS002858,filter_20,0.132403,0.245124,
PGS003092,filter_20,0.366966,-0.0193349,
PGS000014,filter_20,3.24761,0.251197,
PGS004840,filter_20,2.92316,-0.176416,
PGS000018,reweight_linear,1.32502,0.118354,
PGS004696,reweight_linear,4.48034,-0.203745,
PGS004698,reweight_linear,3.8962,-0.240746,
PGS003897,reweight_linear,0.210087,0.0306609,
PGS002853,reweight_linear,0.199094,0.0608011,
PGS002858,reweight_linear,0.279392,0.0981346,
PGS003092,reweight_linear,0.185477,0.162155,
PGS000014,reweight_linear,3.2886,0.210203,
PGS004840,reweight_linear,2.85881,-0.112068,
PGS000018,reweight_exp,1.15789,0.285479,
PGS004696,reweight_exp,4.53477,-0.258172,
PGS004698,reweight_exp,4.01892,-0.363469,
PGS003897,reweight_exp,0.200584,0.0401641,
PGS002853,reweight_exp,0.182547,0.0773484,
PGS002858,reweight_exp,0.228548,0.148979,
PGS003092,reweight_exp,0.24236,0.105271,
PGS000014,reweight_exp,3.15897,0.339839,
PGS004840,reweight_exp,2.88827,-0.141527,
PGS000018,flag,1.44337,0,
PGS004696,flag,4.2766,0,
PGS004698,flag,3.58355,0.0719027,
PGS003897,flag,0.240748,0,
PGS002853,flag,0.259895,0,
PGS002858,flag,0.377527,0,
PGS003092,flag,0.139159,0.208473,
PGS000014,flag,3.28589,0.212912,
PGS004840,flag,2.74674,0,
PGS000018,random,1.40926,0.0341072,
PGS004696,random,4.23956,0.0370325,
PGS004698,random,3.52118,0.134275,
PGS003897,random,0.234115,0.00663352,
PGS002853,random,0.409383,-0.149488,
PGS002858,random,0.513639,-0.136113,
PGS003092,random,0.311553,0.0360781,
PGS000014,random,3.32222,0.176587,
PGS004840,random,2.77309,-0.0263459,
PGS000018,fst,0.75471,0.688662,
PGS004696,fst,3.36548,0.911114,
PGS004698,fst,2.53208,1.12337,
PGS003897,fst,0.350091,-0.109343,
PGS002853,fst,0.526818,-0.266922,
PGS002858,fst,0.539457,-0.16193,
PGS003092,fst,0.158711,0.188921,
PGS000014,fst,2.30362,1.19519,
PGS004840,fst,1.78521,0.961535,
PGS000018,ld,1.76865,-0.325282,
PGS004696,ld,4.46173,-0.18513,
PGS004698,ld,4.40853,-0.753075,
PGS003897,ld,0.214877,0.0258715,
PGS002853,ld,0.139081,0.120814,
PGS002858,ld,0.222,0.155526,
PGS003092,ld,0.140099,0.207532,
PGS000014,ld,3.25669,0.24212,
PGS004840,ld,2.8192,-0.0724524,
PGS000018,maf,1.3558,0.0875722,
PGS004696,maf,4.08477,0.191824,
PGS004698,maf,3.41803,0.237429,
PGS003897,maf,0.251994,-0.0112455,
PGS002853,maf,0.196294,0.0636013,
PGS002858,maf,0.320004,0.0575227,
PGS003092,maf,0.0905886,0.257043,
PGS000014,maf,2.8567,0.64211,
PGS004840,maf,2.38282,0.363925,
