pgs_id,mode,metric,value,baseline_value,reduction,claim,matched_random_mode
PGS000018,flag,mean_abs_delta_EUR,0.798195,0.798195,0,ancestry_mean_separation_not_portability,
PGS000018,flag,weight_mass_retained,1,,,,
PGS000018,flag,variant_frac_retained,1,,,,
PGS000018,flag,score_var_retained_AFR,1,,,,
PGS000018,flag,score_var_retained_AMR,1,,,,
PGS000018,flag,score_var_retained_EAS,1,,,,
PGS000018,flag,score_var_retained_EUR,1,,,,
PGS000018,flag,score_var_retained_SAS,1,,,,
PGS000018,flag,corr_edited_original_AFR,1,,,,
PGS000018,flag,corr_edited_original_AMR,1,,,,
PGS000018,flag,corr_edited_original_EAS,1,,,,
PGS000018,flag,corr_edited_original_EUR,1,,,,
PGS000018,flag,corr_edited_original_SAS,1,,,,
PGS004696,flag,mean_abs_delta_EUR,0.848247,0.848247,0,ancestry_mean_separation_not_portability,
PGS004696,flag,weight_mass_retained,1,,,,
PGS004696,flag,variant_frac_retained,1,,,,
PGS004696,flag,score_var_retained_AFR,1,,,,
PGS004696,flag,score_var_retained_AMR,1,,,,
PGS004696,flag,score_var_retained_EAS,1,,,,
PGS004696,flag,score_var_retained_EUR,1,,,,
PGS004696,flag,score_var_retained_SAS,1,,,,
PGS004696,flag,corr_edited_original_AFR,1,,,,
PGS004696,flag,corr_edited_original_AMR,1,,,,
PGS004696,flag,corr_edited_original_EAS,1,,,,
PGS004696,flag,corr_edited_original_EUR,1,,,,
PGS004696,flag,corr_edited_original_SAS,1,,,,
PGS004698,flag,mean_abs_delta_EUR,56.2638,56.0166,-0.24714,ancestry_mean_separation_not_portability,
PGS004698,flag,weight_mass_retained,0.999996,,,,
PGS004698,flag,variant_frac_retained,0.999998,,,,
PGS004698,flag,score_var_retained_AFR,0.993559,,,,
PGS004698,flag,score_var_retained_AMR,1.06684,,,,
PGS004698,flag,score_var_retained_EAS,1.03414,,,,
PGS004698,flag,score_var_retained_EUR,1.04973,,,,
PGS004698,flag,score_var_retained_SAS,1.04356,,,,
PGS004698,flag,corr_edited_original_AFR,0.98913,,,,
PGS004698,flag,corr_edited_original_AMR,0.993834,,,,
PGS004698,flag,corr_edited_original_EAS,0.985488,,,,
PGS004698,flag,corr_edited_original_EUR,0.982849,,,,
PGS004698,flag,corr_edited_original_SAS,0.985398,,,,
PGS003897,flag,mean_abs_delta_EUR,0.388864,0.388864,0,ancestry_mean_separation_not_portability,
PGS003897,flag,weight_mass_retained,1,,,,
PGS003897,flag,variant_frac_retained,1,,,,
PGS003897,flag,score_var_retained_AFR,1,,,,
PGS003897,flag,score_var_retained_AMR,1,,,,
PGS003897,flag,score_var_retained_EAS,1,,,,
PGS003897,flag,score_var_retained_EUR,1,,,,
PGS003897,flag,score_var_retained_SAS,1,,,,
PGS003897,flag,corr_edited_original_AFR,1,,,,
PGS003897,flag,corr_edited_original_AMR,1,,,,
PGS003897,flag,corr_edited_original_EAS,1,,,,
PGS003897,flag,corr_edited_original_EUR,1,,,,
PGS003897,flag,corr_edited_original_SAS,1,,,,
PGS002853,flag,mean_abs_delta_EUR,0.0760014,0.0760014,0,ancestry_mean_separation_not_portability,
PGS002853,flag,weight_mass_retained,1,,,,
PGS002853,flag,variant_frac_retained,1,,,,
PGS002853,flag,score_var_retained_AFR,1,,,,
PGS002853,flag,score_var_retained_AMR,1,,,,
PGS002853,flag,score_var_retained_EAS,1,,,,
PGS002853,flag,score_var_retained_EUR,1,,,,
PGS002853,flag,score_var_retained_SAS,1,,,,
PGS002853,flag,corr_edited_original_AFR,1,,,,
PGS002853,flag,corr_edited_original_AMR,1,,,,
PGS002853,flag,corr_edited_original_EAS,1,,,,
PGS002853,flag,corr_edited_original_EUR,1,,,,
PGS002853,flag,corr_edited_original_SAS,1,,,,
PGS000191,fst,mean_abs_delta_EUR,0.19404,0.184472,-0.00956778,ancestry_mean_separation_not_portability,
PGS000191,fst,weight_mass_retained,0.913626,,,,
PGS000191,fst,variant_frac_retained,0.901163,,,,
