trait,rid,pathway,n_genes,n_high_i2_genes,frac_high_i2,fisher_p,bh_q,ld_block_perm_p,ld_block_perm_q,fdr_significant
BMI,R-HSA-162582,Signal Transduction,2490,2433,0.977108,5.84142e-11,1.37974e-07,0.00497512,0.00772092,True
BMI,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",685,672,0.981022,8.30378e-05,0.0980676,0.00497512,0.00772092,False
BMI,R-HSA-194315,Signaling by Rho GTPases,671,658,0.980626,0.000126588,0.0996669,0.00497512,0.00772092,False
BMI,R-HSA-382551,Transport of small molecules,691,676,0.978292,0.000412157,0.243379,0.00497512,0.00772092,False
BMI,R-HSA-112316,Neuronal System,390,384,0.984615,0.000716389,0.338422,0.00497512,0.00772092,False
BMI,R-HSA-9013148,CDC42 GTPase cycle,143,143,1,0.00107994,0.425135,0.00497512,0.00772092,False
BMI,R-HSA-388841,Regulation of T cell activation by CD28 family,260,257,0.988462,0.00172776,0.513525,0.00497512,0.00772092,False
BMI,R-HSA-157118,Signaling by NOTCH,220,218,0.990909,0.00188046,0.513525,0.00497512,0.00772092,False
BMI,R-HSA-8878171,Transcriptional regulation by RUNX1,219,217,0.990868,0.0019567,0.513525,0.00497512,0.00772092,False
BMI,R-HSA-9013149,RAC1 GTPase cycle,172,171,0.994186,0.00254101,0.600187,0.00497512,0.00772092,False
BMI,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,439,430,0.979499,0.00309953,0.627972,0.00497512,0.00772092,False
BMI,R-HSA-449147,Signaling by Interleukins,438,429,0.979452,0.00319037,0.627972,0.00497512,0.00772092,False
BMI,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,519,507,0.976879,0.00395673,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-9012999,RHO GTPase cycle,424,415,0.978774,0.00475877,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-397014,Muscle contraction,196,194,0.989796,0.00482869,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-9675108,Nervous system development,536,523,0.975746,0.00535052,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-9006925,Intracellular signaling by second messengers,296,291,0.983108,0.00539995,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-372790,Signaling by GPCR,674,656,0.973294,0.00550921,0.705171,0.00995025,0.0149793,False
BMI,R-HSA-1280215,Cytokine Signaling in Immune system,754,733,0.972149,0.00567242,0.705171,0.0199005,0.0293965,False
