trait,rid,pathway,fisher_p,bh_q,ld_block_perm_q,n_high_i2_genes,n_high_i2_genes_lolo,fisher_p_lolo,dropped_locus,fragile,fdr_significant
CAD,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,2.23559e-08,5.26928e-05,0.0147501,63,55,0.0172593,1:149883340,False,True
CAD,R-HSA-1912422,Pre-NOTCH Expression and Processing,5.47926e-08,6.45731e-05,0.0147501,101,93,0.00148053,1:149883340,False,True
CAD,R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT),1.65227e-07,0.000103672,0.0147501,66,58,0.0210672,1:149883340,False,True
CAD,R-HSA-912446,Meiotic recombination,1.75939e-07,0.000103672,0.0147501,82,74,0.00701002,1:149883340,False,True
CAD,R-HSA-9943962,"CHD6, CHD7, CHD8, CHD9 subfamily",3.15246e-07,0.0001366,0.0147501,72,64,0.0163114,1:149883340,False,True
CAD,R-HSA-1912408,Pre-NOTCH Transcription and Translation,3.74881e-07,0.0001366,0.0147501,86,78,0.00737361,1:149883340,False,True
CAD,R-HSA-1500620,Meiosis,4.05685e-07,0.0001366,0.0147501,105,104,1.79051e-06,1:114845377,False,True
CAD,R-HSA-162582,Signal Transduction,6.12568e-07,0.000163043,0.0147501,1944,1943,7.95898e-07,1:100138335,False,True
CAD,R-HSA-5334118,DNA methylation,6.22565e-07,0.000163043,0.0147501,61,53,0.0430689,1:149883340,False,True
CAD,R-HSA-2559583,Cellular Senescence,7.29397e-07,0.000171919,0.0147501,167,159,0.000668628,1:149883340,False,True
CAD,R-HSA-211000,Gene Silencing by RNA,9.45444e-07,0.000202583,0.0147501,95,94,4.32657e-06,1:108699434,False,True
CAD,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,1.38397e-06,0.000271835,0.0147501,87,86,6.78198e-06,1:107020621,False,True
CAD,R-HSA-5625740,RHO GTPases activate PKNs,2.72663e-06,0.00049436,0.0147501,84,76,0.0175932,1:149883340,False,True
CAD,R-HSA-9816359,Maternal to zygotic transition (MZT),3.45735e-06,0.000582069,0.0147501,112,104,0.00662295,1:149883340,False,True
CAD,R-HSA-427359,SIRT1 negatively regulates rRNA expression,3.92606e-06,0.000610712,0.0147501,62,54,0.0641071,1:149883340,True,True
CAD,R-HSA-5578749,Transcriptional regulation by small RNAs,4.14569e-06,0.000610712,0.0147501,69,61,0.0434786,1:149883340,False,True
CAD,R-HSA-2559580,Oxidative Stress Induced Senescence,5.13342e-06,0.000711734,0.0147501,110,102,0.00856145,1:149883340,False,True
CAD,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",7.45845e-06,0.000976643,0.0147501,557,556,1.15978e-05,1:100138335,False,True
CAD,R-HSA-9821993,Replacement of protamines by nucleosomes in the male pronucleus,7.99444e-06,0.000991731,0.0147501,42,39,0.00391943,1:149883340,False,True
CAD,R-HSA-73728,RNA Polymerase I Promoter Opening,1.06346e-05,0.0012087,0.0147501,58,50,0.104546,1:149883340,True,True
T2D,R-HSA-162582,Signal Transduction,3.28275e-07,0.000773087,0.0131056,2058,2057,4.37764e-07,1:100137335,False,True
T2D,R-HSA-9675108,Nervous system development,0.000440055,0.316996,0.0364997,452,451,0.000669225,1:107531043,False,False
T2D,R-HSA-3781865,Diseases of glycosylation,0.000565496,0.316996,0.0131056,124,122,0.00296194,1:1184927,False,False
T2D,R-HSA-187687,Signalling to ERKs,0.000583567,0.316996,0.0131056,33,32,0.0054633,1:111570502,False,False
T2D,R-HSA-422475,Axon guidance,0.000673028,0.316996,0.0246661,432,431,0.00101828,1:107531043,False,False
T2D,R-HSA-6794361,Neurexins and neuroligins,0.000958701,0.326745,0.0131056,49,48,0.00435197,1:202597816,False,False
T2D,R-HSA-112316,Neuronal System,0.00100203,0.326745,0.0131056,331,330,0.00158967,1:109506835,False,False
T2D,R-HSA-1643685,Disease,0.00110996,0.326745,0.0246661,1649,1648,0.00135631,1:100004881,False,False
T2D,R-HSA-69618,Mitotic Spindle Checkpoint,0.00150963,0.375001,0.0131056,99,98,0.00367957,1:10395091,False,False
T2D,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0017508,0.375001,0.0807234,575,574,0.00242275,1:100137335,False,False
T2D,R-HSA-8941326,RUNX2 regulates bone development,0.00180496,0.375001,0.0131056,28,27,0.014607,1:156238425,False,False
T2D,R-HSA-194315,Signaling by Rho GTPases,0.00208294,0.375001,0.0807234,563,562,0.00287608,1:100137335,False,False
T2D,R-HSA-1483255,PI Metabolism,0.00218786,0.375001,0.0131056,72,70,0.0151486,1:151111614,False,False
T2D,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,0.00243857,0.375001,0.0480674,367,366,0.00363086,1:109363156,False,False
T2D,R-HSA-6794362,Protein-protein interactions at synapses,0.00254572,0.375001,0.0131056,71,70,0.0070957,1:202597816,False,False
T2D,R-HSA-375165,NCAM signaling for neurite out-growth,0.00254778,0.375001,0.0131056,58,57,0.00819348,1:114719969,False,False
T2D,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.00294796,0.408379,0.0246661,434,433,0.00421016,1:102847228,False,False
T2D,R-HSA-2555396,Mitotic Metaphase and Anaphase,0.00327878,0.428973,0.0364997,189,188,0.0057058,1:10395091,False,False
T2D,R-HSA-68882,Mitotic Anaphase,0.00360312,0.431689,0.0364997,188,187,0.00623998,1:10395091,False,False
T2D,R-HSA-9930044,Nuclear RNA decay,0.00366615,0.431689,0.0131056,34,33,0.0178559,1:11073183,False,False
BMI,R-HSA-162582,Signal Transduction,5.84142e-11,1.37974e-07,0.00772092,2433,2432,1.30387e-10,1:100159391,False,True
BMI,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",8.30378e-05,0.0980676,0.00772092,672,671,0.000208028,1:100159391,False,False
BMI,R-HSA-194315,Signaling by Rho GTPases,0.000126588,0.0996669,0.00772092,658,657,0.000310762,1:100159391,False,False
BMI,R-HSA-382551,Transport of small molecules,0.000412157,0.243379,0.00772092,676,675,0.000910616,1:100020984,False,False
BMI,R-HSA-112316,Neuronal System,0.000716389,0.338422,0.00772092,384,383,0.00208652,1:109499457,False,False
BMI,R-HSA-9013148,CDC42 GTPase cycle,0.00107994,0.425135,0.00772092,143,143,0.00107994,1:107525189,False,False
BMI,R-HSA-388841,Regulation of T cell activation by CD28 family,0.00172776,0.513525,0.00772092,257,256,0.0060134,1:109352159,False,False
BMI,R-HSA-157118,Signaling by NOTCH,0.00188046,0.513525,0.00772092,218,217,0.00747114,1:109352159,False,False
BMI,R-HSA-8878171,Transcriptional regulation by RUNX1,0.0019567,0.513525,0.00772092,217,216,0.00774213,1:107011647,False,False
BMI,R-HSA-9013149,RAC1 GTPase cycle,0.00254101,0.600187,0.00772092,171,171,0.00254101,1:107525189,False,False
BMI,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,0.00309953,0.627972,0.00772092,430,429,0.0070874,1:109352159,False,False
BMI,R-HSA-449147,Signaling by Interleukins,0.00319037,0.627972,0.00772092,429,428,0.00727962,1:100671095,False,False
BMI,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.00395673,0.705171,0.00772092,507,507,0.00395673,1:102836417,False,False
BMI,R-HSA-9012999,RHO GTPase cycle,0.00475877,0.705171,0.00772092,415,414,0.0105357,1:100159391,False,False
BMI,R-HSA-397014,Muscle contraction,0.00482869,0.705171,0.00772092,194,193,0.0173017,1:109948273,False,False
BMI,R-HSA-9675108,Nervous system development,0.00535052,0.705171,0.00772092,523,522,0.0105876,1:1065910,False,False
BMI,R-HSA-9006925,Intracellular signaling by second messengers,0.00539995,0.705171,0.00772092,291,290,0.0141928,1:109352159,False,False
BMI,R-HSA-372790,Signaling by GPCR,0.00550921,0.705171,0.0149793,656,655,0.0100146,1:101209524,False,False
BMI,R-HSA-1280215,Cytokine Signaling in Immune system,0.00567242,0.705171,0.0293965,733,732,0.00992582,1:100671095,False,False
BMI,R-HSA-556833,Metabolism of lipids,0.00619986,0.732203,0.0149793,703,702,0.0109138,1:109606352,False,False
LDL,R-HSA-1430728,Metabolism,4.59911e-05,0.0974607,0.00857492,1990,1989,7.0022e-05,1:10021678,False,False
