======================================================================
TOP CROSS-ANCESTRY-UNSTABLE PATHWAYS per trait (chr16)
======================================================================

[CAD]
  I2=0.559  n_assoc= 22  PBS=0.098  Glycerophospholipid catabolism
  I2=0.473  n_assoc=106  PBS=0.107  Interleukin-10 signaling
  I2=0.442  n_assoc= 78  PBS=0.091  NFE2L2 regulating anti-oxidant/detoxification enzymes
  I2=0.423  n_assoc= 77  PBS=0.074  Regulation of ornithine decarboxylase (ODC)
  I2=0.423  n_assoc= 77  PBS=0.074  Metabolism of polyamines
  I2=0.414  n_assoc=158  PBS=0.096  Chemokine receptors bind chemokines
  I2=0.402  n_assoc= 97  PBS=0.093  Nuclear events mediated by NFE2L2
  I2=0.401  n_assoc=163  PBS=0.079  Dectin-1 mediated noncanonical NF-kB signaling

[T2D]
  I2=0.458  n_assoc=205  PBS=0.156  NOTCH3 Activation and Transmission of Signal to the Nucleus
  I2=0.458  n_assoc=205  PBS=0.156  RHOJ GTPase cycle
  I2=0.453  n_assoc=150  PBS=0.138  Diseases of the urea cycle
  I2=0.453  n_assoc=150  PBS=0.138  ASS1 variants cause citrullinemia
  I2=0.453  n_assoc=150  PBS=0.138  Urea cycle
  I2=0.448  n_assoc=131  PBS=0.133  FOXO-mediated transcription of cell cycle genes
  I2=0.446  n_assoc=213  PBS=0.156  RHOQ GTPase cycle
  I2=0.438  n_assoc=216  PBS=0.139  RHOU GTPase cycle

[BMI]
  I2=0.700  n_assoc=146  PBS=0.095  Signaling by Leptin
  I2=0.700  n_assoc=146  PBS=0.095  Prolactin receptor signaling
  I2=0.687  n_assoc=128  PBS=0.107  Ion homeostasis
  I2=0.687  n_assoc=128  PBS=0.107  Platelet calcium homeostasis
  I2=0.687  n_assoc=128  PBS=0.107  Reduction of cytosolic Ca++ levels
  I2=0.687  n_assoc=128  PBS=0.107  Pre-NOTCH Processing in Golgi
  I2=0.686  n_assoc=144  PBS=0.060  TP53 Regulates Transcription of Death Receptors and Ligands
  I2=0.670  n_assoc=134  PBS=0.058  DNA Damage Recognition in GG-NER

[LDL]
  I2=0.742  n_assoc=302  PBS=0.104  Nucleotide biosynthesis
  I2=0.742  n_assoc=302  PBS=0.104  Pyrimidine biosynthesis
  I2=0.690  n_assoc=289  PBS=0.115  Binding and Uptake of Ligands by Scavenger Receptors
  I2=0.690  n_assoc=289  PBS=0.115  Scavenging of heme from plasma
  I2=0.643  n_assoc=271  PBS=0.183  Golgi Associated Vesicle Biogenesis
  I2=0.643  n_assoc=271  PBS=0.183  Nef mediated downregulation of MHC class I complex cell surf
  I2=0.643  n_assoc=271  PBS=0.183  Lysosome Vesicle Biogenesis
  I2=0.643  n_assoc=271  PBS=0.183  Nef-mediates down modulation of cell surface receptors by re
