======================================================================
TOP CROSS-ANCESTRY-UNSTABLE PATHWAYS per trait (chr9)
======================================================================

[CAD]
  I2=0.563  n_assoc=  7  PBS=0.123  Formation of TC-NER Pre-Incision Complex
  I2=0.535  n_assoc=167  PBS=0.140  Oncogene Induced Senescence
  I2=0.525  n_assoc=156  PBS=0.124  Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
  I2=0.525  n_assoc=156  PBS=0.124  SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
  I2=0.507  n_assoc=140  PBS=0.140  Intrinsic Pathway for Apoptosis
  I2=0.507  n_assoc=140  PBS=0.140  Diseases of Cellular Senescence
  I2=0.507  n_assoc=140  PBS=0.140  SUMOylation of transcription factors
  I2=0.507  n_assoc=140  PBS=0.140  RUNX3 regulates p14-ARF

[T2D]
  I2=0.517  n_assoc= 70  PBS=0.078  HATs acetylate histones
  I2=0.492  n_assoc=131  PBS=0.140  Oncogene Induced Senescence
  I2=0.478  n_assoc=248  PBS=0.133  TBC/RABGAPs
  I2=0.475  n_assoc= 43  PBS=0.099  DAG1 core M3 glycosylations
  I2=0.475  n_assoc= 43  PBS=0.099  DAG1 core M2 glycosylations
  I2=0.475  n_assoc= 43  PBS=0.099  Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2
  I2=0.475  n_assoc= 43  PBS=0.099  DAG1 core M1 glycosylations
  I2=0.475  n_assoc= 43  PBS=0.099  Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1

[BMI]
  I2=0.727  n_assoc=108  PBS=0.139  Oncogene Induced Senescence
  I2=0.692  n_assoc= 85  PBS=0.138  Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss
  I2=0.692  n_assoc= 85  PBS=0.138  Diseases of cellular response to stress
  I2=0.692  n_assoc= 85  PBS=0.138  Evasion of Oncogene Induced Senescence Due to p14ARF Defects
  I2=0.692  n_assoc= 85  PBS=0.138  Evasion of Oxidative Stress Induced Senescence Due to Defect
  I2=0.692  n_assoc= 85  PBS=0.138  Diseases of Cellular Senescence
  I2=0.692  n_assoc= 85  PBS=0.138  Evasion of Oncogene Induced Senescence Due to Defective p16I
  I2=0.692  n_assoc= 85  PBS=0.138  Evasion of Oncogene Induced Senescence Due to Defective p16I

[LDL]
  I2=0.577  n_assoc=163  PBS=0.069  NOD1/2 Signaling Pathway
  I2=0.531  n_assoc=146  PBS=0.122  Activation of the mRNA upon binding of the cap-binding compl
  I2=0.531  n_assoc=146  PBS=0.122  Ribosomal scanning and start codon recognition
  I2=0.531  n_assoc=146  PBS=0.122  Formation of the ternary complex, and subsequently, the 43S 
  I2=0.531  n_assoc=146  PBS=0.122  Protein hydroxylation
  I2=0.531  n_assoc=146  PBS=0.122  SARS-CoV-1 modulates host translation machinery
  I2=0.531  n_assoc=146  PBS=0.122  Translation initiation complex formation
  I2=0.531  n_assoc=146  PBS=0.122  SARS-CoV-2 modulates host translation machinery
