trait,rid,pathway,n_variants,n_assoc,mean_I2,mean_I2_assoc,sign_discord_frac,high_risk_frac,mean_PBS,mean_FST
CAD,R-HSA-5579026,Defective CYP11A1 causes AICSR,444.0000,166.0000,0.2328,0.5014,0.8198,0.7410,0.0815,0.0315
CAD,R-HSA-211976,Endogenous sterols,444.0000,166.0000,0.2328,0.5014,0.8198,0.7410,0.0815,0.0315
CAD,R-HSA-196108,Pregnenolone biosynthesis,444.0000,166.0000,0.2328,0.5014,0.8198,0.7410,0.0815,0.0315
CAD,R-HSA-1362409,Mitochondrial iron-sulfur cluster biogenesis,444.0000,166.0000,0.2328,0.5014,0.8198,0.7410,0.0815,0.0315
CAD,R-HSA-2395516,Electron transport from NADPH to Ferredoxin,444.0000,166.0000,0.2328,0.5014,0.8198,0.7410,0.0815,0.0315
CAD,R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,697.0000,188.0000,0.1969,0.4849,0.8422,0.7303,0.1415,0.0573
CAD,R-HSA-181429,Serotonin Neurotransmitter Release Cycle,697.0000,188.0000,0.1969,0.4849,0.8422,0.7303,0.1415,0.0573
CAD,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,697.0000,188.0000,0.1969,0.4849,0.8422,0.7303,0.1415,0.0573
T2D,R-HSA-379716,Cytosolic tRNA aminoacylation,695.0000,233.0000,0.3131,0.5460,0.9007,0.8331,0.1357,0.0503
T2D,R-HSA-5619089,Defective SLC6A5 causes hyperekplexia 3 (HKPX3),808.0000,58.0000,0.1471,0.5457,0.9220,0.8329,0.1272,0.0508
T2D,R-HSA-9700206,Signaling by ALK in cancer,1306.0000,238.0000,0.2537,0.5355,0.9104,0.8438,0.1321,0.0531
T2D,R-HSA-9725370,Signaling by ALK fusions and activated point mutants,1306.0000,238.0000,0.2537,0.5355,0.9104,0.8438,0.1321,0.0531
T2D,R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,1159.0000,146.0000,0.1725,0.5298,0.9223,0.7990,0.1170,0.0490
T2D,R-HSA-1855229,IP6 and IP7 transport between cytosol and nucleus,1159.0000,146.0000,0.1725,0.5298,0.9223,0.7990,0.1170,0.0490
T2D,R-HSA-3232142,SUMOylation of ubiquitinylation proteins,1159.0000,146.0000,0.1725,0.5298,0.9223,0.7990,0.1170,0.0490
T2D,R-HSA-1855170,IPs transport between nucleus and cytosol,1159.0000,146.0000,0.1725,0.5298,0.9223,0.7990,0.1170,0.0490
BMI,R-HSA-8853659,RET signaling,821.0000,333.0000,0.3610,0.6719,0.8916,0.7588,0.0916,0.0359
BMI,R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,821.0000,333.0000,0.3610,0.6719,0.8916,0.7588,0.0916,0.0359
BMI,R-HSA-8983432,Interleukin-15 signaling,821.0000,333.0000,0.3610,0.6719,0.8916,0.7588,0.0916,0.0359
BMI,R-HSA-9645135,STAT5 Activation,821.0000,333.0000,0.3610,0.6719,0.8916,0.7588,0.0916,0.0359
BMI,R-HSA-9031525,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ,241.0000,111.0000,0.4755,0.6598,0.9834,0.8506,0.1663,0.0762
BMI,R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,241.0000,111.0000,0.4755,0.6598,0.9834,0.8506,0.1663,0.0762
BMI,R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,241.0000,111.0000,0.4755,0.6598,0.9834,0.8506,0.1663,0.0762
BMI,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,241.0000,111.0000,0.4755,0.6598,0.9834,0.8506,0.1663,0.0762
LDL,R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,321.0000,172.0000,0.3809,0.5808,0.9315,0.8380,0.0736,0.0344
LDL,R-HSA-8849469,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,1071.0000,174.0000,0.2278,0.5739,0.9113,0.7684,0.0781,0.0364
LDL,R-HSA-449836,Other interleukin signaling,674.0000,230.0000,0.2328,0.5377,0.8932,0.7745,0.0981,0.0480
LDL,R-HSA-9772755,Formation of WDR5-containing histone-modifying complexes,705.0000,108.0000,0.2389,0.5344,0.8837,0.7702,0.1132,0.0531
LDL,R-HSA-9918476,Assembly and Release of Dengue Virus Virions,563.0000,176.0000,0.2434,0.5332,0.9165,0.7105,0.0788,0.0349
LDL,R-HSA-8964058,HDL remodeling,425.0000,279.0000,0.4210,0.5304,0.8447,0.6847,0.1338,0.0547
LDL,R-HSA-8963888,Chylomicron assembly,456.0000,299.0000,0.4189,0.5294,0.8399,0.6952,0.1285,0.0530
LDL,R-HSA-8963898,Plasma lipoprotein assembly,456.0000,299.0000,0.4189,0.5294,0.8399,0.6952,0.1285,0.0530
