trait,rid,pathway,n_variants,n_assoc,mean_I2,mean_I2_assoc,sign_discord_frac,high_risk_frac,mean_PBS,mean_FST,bh_q,ld_block_perm_q,fdr_significant,fisher_p,claim_tier
CAD,R-HSA-5626467,RHO GTPases activate IQGAPs,871.0000,97.0000,0.2671,0.6895,0.9219,0.8634,0.1309,0.0526,1.0000,0.8783,False,0.8891,hypothesis_generating
CAD,R-HSA-373753,Nephrin family interactions,871.0000,97.0000,0.2671,0.6895,0.9219,0.8634,0.1309,0.0526,0.2201,0.0148,False,0.0174,hypothesis_generating
CAD,R-HSA-9013404,RAC2 GTPase cycle,882.0000,97.0000,0.2650,0.6895,0.9218,0.8628,0.1295,0.0521,0.6117,0.1477,False,0.1039,hypothesis_generating
CAD,R-HSA-9013406,RHOQ GTPase cycle,1128.0000,99.0000,0.2237,0.6814,0.9255,0.8342,0.1498,0.0578,0.2998,0.0148,False,0.0261,hypothesis_generating
CAD,R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,1594.0000,36.0000,0.1164,0.6577,0.9555,0.8645,0.1293,0.0534,0.7746,0.0148,False,0.1788,hypothesis_generating
CAD,R-HSA-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,1435.0000,111.0000,0.2203,0.6268,0.9157,0.8314,0.1351,0.0529,0.8708,0.3499,False,0.3024,hypothesis_generating
CAD,R-HSA-9913635,Strand-asynchronous mitochondrial DNA replication,494.0000,117.0000,0.2419,0.6204,0.8704,0.7591,0.0784,0.0347,0.8708,0.0148,False,0.3161,hypothesis_generating
CAD,R-HSA-379726,Mitochondrial tRNA aminoacylation,188.0000,56.0000,0.4366,0.6177,0.8245,0.8085,0.0954,0.0343,0.9631,0.4818,False,0.5940,hypothesis_generating
T2D,R-HSA-2142700,Biosynthesis of Lipoxins (LX),399.0000,23.0000,0.2891,0.7369,0.8822,0.7970,0.0994,0.0491,1.0000,0.0131,False,0.6508,hypothesis_generating
T2D,R-HSA-2142696,Synthesis of Hepoxilins (HX) and Trioxilins (TrX),399.0000,23.0000,0.2891,0.7369,0.8822,0.7970,0.0994,0.0491,,,False,,hypothesis_generating
T2D,R-HSA-9026290,Biosynthesis of DPAn-3-derived maresins,399.0000,23.0000,0.2891,0.7369,0.8822,0.7970,0.0994,0.0491,,,False,,hypothesis_generating
T2D,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,261.0000,34.0000,0.2827,0.6996,0.9004,0.8429,0.1292,0.0509,0.4987,0.0131,False,0.0138,hypothesis_generating
T2D,R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,261.0000,34.0000,0.2827,0.6996,0.9004,0.8429,0.1292,0.0509,0.9684,0.5640,False,0.5189,hypothesis_generating
T2D,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,213.0000,130.0000,0.5294,0.6553,0.9765,0.9390,0.1283,0.0464,1.0000,0.9810,False,1.0000,hypothesis_generating
T2D,R-HSA-139853,Elevation of cytosolic Ca2+ levels,213.0000,130.0000,0.5294,0.6553,0.9765,0.9390,0.1283,0.0464,0.6645,0.0131,False,0.0271,hypothesis_generating
T2D,R-HSA-112382,Formation of RNA Pol II elongation complex ,148.0000,87.0000,0.5451,0.6533,0.9730,0.9189,0.1477,0.0521,1.0000,0.7166,False,0.6397,hypothesis_generating
BMI,R-HSA-8949664,Processing of SMDT1,175.0000,71.0000,0.4295,0.7734,0.9486,0.9257,0.1247,0.0574,1.0000,0.0077,False,0.4668,hypothesis_generating
BMI,R-HSA-8949215,Mitochondrial calcium ion transport,175.0000,71.0000,0.4295,0.7734,0.9486,0.9257,0.1247,0.0574,1.0000,0.0077,False,0.3344,hypothesis_generating
BMI,R-HSA-379726,Mitochondrial tRNA aminoacylation,189.0000,78.0000,0.4673,0.7708,0.9312,0.8836,0.0954,0.0344,1.0000,0.9297,False,0.9286,hypothesis_generating
BMI,R-HSA-8963676,Intestinal absorption,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451,1.0000,0.0077,False,0.7882,hypothesis_generating
BMI,R-HSA-8981373,Intestinal hexose absorption,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451,1.0000,0.0077,False,0.8266,hypothesis_generating
BMI,R-HSA-5619098,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451,,,False,,hypothesis_generating
BMI,R-HSA-210745,Regulation of gene expression in beta cells,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451,1.0000,0.0077,False,0.3679,hypothesis_generating
BMI,R-HSA-189200,Cellular hexose transport,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451,1.0000,0.0637,False,0.7449,hypothesis_generating
LDL,R-HSA-9913635,Strand-asynchronous mitochondrial DNA replication,495.0000,113.0000,0.3007,0.7811,0.9172,0.7778,0.0783,0.0347,0.9960,0.6664,False,0.8640,hypothesis_generating
LDL,R-HSA-166658,Complement cascade,188.0000,100.0000,0.4767,0.7726,0.8723,0.8245,0.0806,0.0354,1.0000,0.9918,False,1.0000,hypothesis_generating
