trait,rid,pathway,n_variants,n_assoc,mean_I2,mean_I2_assoc,sign_discord_frac,high_risk_frac,mean_PBS,mean_FST
CAD,R-HSA-5626467,RHO GTPases activate IQGAPs,871.0000,97.0000,0.2671,0.6895,0.9219,0.8634,0.1309,0.0526
CAD,R-HSA-9013404,RAC2 GTPase cycle,882.0000,97.0000,0.2650,0.6895,0.9218,0.8628,0.1295,0.0521
CAD,R-HSA-373753,Nephrin family interactions,871.0000,97.0000,0.2671,0.6895,0.9219,0.8634,0.1309,0.0526
CAD,R-HSA-9013406,RHOQ GTPase cycle,1128.0000,99.0000,0.2237,0.6814,0.9255,0.8342,0.1498,0.0578
CAD,R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,1594.0000,36.0000,0.1164,0.6577,0.9555,0.8645,0.1293,0.0534
CAD,R-HSA-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,1435.0000,111.0000,0.2203,0.6268,0.9157,0.8314,0.1351,0.0529
CAD,R-HSA-9913635,Strand-asynchronous mitochondrial DNA replication,494.0000,117.0000,0.2419,0.6204,0.8704,0.7591,0.0784,0.0347
CAD,R-HSA-379726,Mitochondrial tRNA aminoacylation,188.0000,56.0000,0.4366,0.6177,0.8245,0.8085,0.0954,0.0343
T2D,R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,261.0000,34.0000,0.2827,0.6996,0.9004,0.8429,0.1292,0.0509
T2D,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,261.0000,34.0000,0.2827,0.6996,0.9004,0.8429,0.1292,0.0509
T2D,R-HSA-139853,Elevation of cytosolic Ca2+ levels,213.0000,130.0000,0.5294,0.6553,0.9765,0.9390,0.1283,0.0464
T2D,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,213.0000,130.0000,0.5294,0.6553,0.9765,0.9390,0.1283,0.0464
T2D,R-HSA-77075,RNA Pol II CTD phosphorylation and interaction with CE,148.0000,87.0000,0.5451,0.6533,0.9730,0.9189,0.1477,0.0521
T2D,R-HSA-72165,mRNA Splicing - Minor Pathway,148.0000,87.0000,0.5451,0.6533,0.9730,0.9189,0.1477,0.0521
T2D,R-HSA-72086,mRNA Capping,148.0000,87.0000,0.5451,0.6533,0.9730,0.9189,0.1477,0.0521
T2D,R-HSA-8851708,Signaling by FGFR2 IIIa TM,148.0000,87.0000,0.5451,0.6533,0.9730,0.9189,0.1477,0.0521
BMI,R-HSA-8949215,Mitochondrial calcium ion transport,175.0000,71.0000,0.4295,0.7734,0.9486,0.9257,0.1247,0.0574
BMI,R-HSA-8949664,Processing of SMDT1,175.0000,71.0000,0.4295,0.7734,0.9486,0.9257,0.1247,0.0574
BMI,R-HSA-379726,Mitochondrial tRNA aminoacylation,189.0000,78.0000,0.4673,0.7708,0.9312,0.8836,0.0954,0.0344
BMI,R-HSA-5619098,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451
BMI,R-HSA-8963676,Intestinal absorption,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451
BMI,R-HSA-8981373,Intestinal hexose absorption,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451
BMI,R-HSA-189200,Cellular hexose transport,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451
BMI,R-HSA-210745,Regulation of gene expression in beta cells,378.0000,147.0000,0.4060,0.7569,0.9021,0.8228,0.1200,0.0451
LDL,R-HSA-9913635,Strand-asynchronous mitochondrial DNA replication,495.0000,113.0000,0.3007,0.7811,0.9172,0.7778,0.0783,0.0347
LDL,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,698.0000,141.0000,0.2943,0.7515,0.9083,0.7765,0.0818,0.0367
LDL,R-HSA-1660661,Sphingolipid de novo biosynthesis,626.0000,472.0000,0.5996,0.7459,0.8994,0.8690,0.0684,0.0309
LDL,R-HSA-5656169,Termination of translesion DNA synthesis,477.0000,313.0000,0.5377,0.7363,0.8994,0.8470,0.0948,0.0465
LDL,R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,477.0000,313.0000,0.5377,0.7363,0.8994,0.8470,0.0948,0.0465
LDL,R-HSA-5655862,Translesion synthesis by POLK,477.0000,313.0000,0.5377,0.7363,0.8994,0.8470,0.0948,0.0465
LDL,R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,477.0000,313.0000,0.5377,0.7363,0.8994,0.8470,0.0948,0.0465
LDL,R-HSA-5696400,Dual Incision in GG-NER,493.0000,313.0000,0.5232,0.7363,0.9026,0.8418,0.0933,0.0457
