reference_id	kind	donor_id	haplotype	population_code	superpopulation	panel_role	genbank_accession	source_url	source_md5_url	expected_bytes	expected_md5	expected_sha256	include_in_union	local_filename
chm13v2.0	chm13	CHM13	0	NA	NA	reference	GCA_009914755.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/914/755/GCA_009914755.4_T2T-CHM13v2.0/GCA_009914755.4_T2T-CHM13v2.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/914/755/GCA_009914755.4_T2T-CHM13v2.0/md5checksums.txt	932696125	9280657210e4161147cbe13b022225b9	a2f8b712a1958a41b590ce67743c324d64462e17b6b4fdc62747ff4de4b09c75	true	GCA_009914755.4_T2T-CHM13v2.0_genomic.fna.gz
hprc_HG02583_h1	hprc_assembly	HG02583	1	GWD	AFR	primary	GCA_042076985.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/assemblies/release2/HG02583_hap1_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/assemblies/release2/HG02583_hap1_hprc_r2_v1.0.1.fa.gz.md5	906445020	33930252942c055d21c87427a8291b22		true	HG02583_hap1_hprc_r2_v1.0.1.fa.gz
hprc_HG02583_h2	hprc_assembly	HG02583	2	GWD	AFR	primary	GCA_042076715.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/assemblies/release2/HG02583_hap2_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/assemblies/release2/HG02583_hap2_hprc_r2_v1.0.1.fa.gz.md5	902449551	27d7b7ca34959b1c8815808176d413cc		true	HG02583_hap2_hprc_r2_v1.0.1.fa.gz
hprc_HG02922_h1	hprc_assembly	HG02922	1	ESN	AFR	holdout	GCA_042031165.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02922/assemblies/release2/HG02922_hap1_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02922/assemblies/release2/HG02922_hap1_hprc_r2_v1.0.1.fa.gz.md5	905225098	650b7f92b8875f28397932aebd4fb078		false	HG02922_hap1_hprc_r2_v1.0.1.fa.gz
hprc_HG02922_h2	hprc_assembly	HG02922	2	ESN	AFR	holdout	GCA_042030255.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02922/assemblies/release2/HG02922_hap2_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02922/assemblies/release2/HG02922_hap2_hprc_r2_v1.0.1.fa.gz.md5	901270023	ae410b0c09187d48023d119011f40d64		false	HG02922_hap2_hprc_r2_v1.0.1.fa.gz
hprc_HG01167_h1	hprc_assembly	HG01167	1	PUR	AMR	primary	GCA_044167135.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/assemblies/release2/HG01167_hap1_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/assemblies/release2/HG01167_hap1_hprc_r2_v1.0.1.fa.gz.md5	872064211	2673a6fd3979eabf2e57ccf70d0b90a1		true	HG01167_hap1_hprc_r2_v1.0.1.fa.gz
hprc_HG01167_h2	hprc_assembly	HG01167	2	PUR	AMR	primary	GCA_044166785.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/assemblies/release2/HG01167_hap2_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/assemblies/release2/HG01167_hap2_hprc_r2_v1.0.1.fa.gz.md5	899289683	ed2603efc1433f60e759aa50540c436a		true	HG01167_hap2_hprc_r2_v1.0.1.fa.gz
hprc_NA19682_h1	hprc_assembly	NA19682	1	MXL	AMR	holdout	GCA_044165125.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19682/assemblies/release2/NA19682_hap1_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19682/assemblies/release2/NA19682_hap1_hprc_r2_v1.0.1.fa.gz.md5	864967167	54039ff106e3cc189b70a8f2e3e5589e		false	NA19682_hap1_hprc_r2_v1.0.1.fa.gz
hprc_NA19682_h2	hprc_assembly	NA19682	2	MXL	AMR	holdout	GCA_044164665.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19682/assemblies/release2/NA19682_hap2_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19682/assemblies/release2/NA19682_hap2_hprc_r2_v1.0.1.fa.gz.md5	902434457	5c09ed22e19902002edad2716f5b9b04		false	NA19682_hap2_hprc_r2_v1.0.1.fa.gz
hprc_HG02040_h1	hprc_assembly	HG02040	1	KHV	EAS	primary	GCA_042032555.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02040/assemblies/release2/HG02040_hap1_hprc_r2_v1.0.1.fa.gz	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02040/assemblies/release2/HG02040_hap1_hprc_r2_v1.0.1.fa.gz.md5	866450311	84731cdde018f5548173c33cca7dd96d		true	HG02040_hap1_hprc_r2_v1.0.1.fa.gz
