run_accession	arm	bioproject	sample_accession	role	rank	library_layout	instrument_platform	library_strategy	base_count	read_count
SRR13348579	tanzania	PRJNA686265	SAMN17127127	primary	1	PAIRED	ILLUMINA	WGS	9952581838	32955569
SRR13348648	tanzania	PRJNA686265	SAMN17127064	primary	2	PAIRED	ILLUMINA	WGS	8824614858	29220579
SRR13348823	tanzania	PRJNA686265	SAMN17127195	primary	3	PAIRED	ILLUMINA	WGS	7947603838	26316569
SRR13348569	tanzania	PRJNA686265	SAMN17127136	primary	4	PAIRED	ILLUMINA	WGS	7876138256	26079928
SRR13348570	tanzania	PRJNA686265	SAMN17127135	primary	5	PAIRED	ILLUMINA	WGS	7806804190	25850345
SRR13348806	tanzania	PRJNA686265	SAMN17127210	primary	6	PAIRED	ILLUMINA	WGS	7804236284	25841842
SRR13348882	tanzania	PRJNA686265	SAMN17127142	primary	7	PAIRED	ILLUMINA	WGS	7799354152	25825676
SRR13348849	tanzania	PRJNA686265	SAMN17127171	primary	8	PAIRED	ILLUMINA	WGS	7508651066	24863083
SRR13348789	tanzania	PRJNA686265	SAMN17127226	primary	9	PAIRED	ILLUMINA	WGS	7179798736	23774168
SRR13348616	tanzania	PRJNA686265	SAMN17127093	primary	10	PAIRED	ILLUMINA	WGS	7179690620	23773810
SRR13348815	tanzania	PRJNA686265	SAMN17127202	primary	11	PAIRED	ILLUMINA	WGS	7162335888	23716344
SRR13348592	tanzania	PRJNA686265	SAMN17127115	primary	12	PAIRED	ILLUMINA	WGS	7160064848	23708824
SRR13348851	tanzania	PRJNA686265	SAMN17127169	primary	13	PAIRED	ILLUMINA	WGS	7084084064	23457232
SRR13348734	tanzania	PRJNA686265	SAMN17126952	primary	14	PAIRED	ILLUMINA	WGS	7077980644	23437022
SRR13348697	tanzania	PRJNA686265	SAMN17127021	primary	15	PAIRED	ILLUMINA	WGS	6987277058	23136679
SRR13348726	tanzania	PRJNA686265	SAMN17126995	primary	16	PAIRED	ILLUMINA	WGS	6960864440	23049220
SRR13348699	tanzania	PRJNA686265	SAMN17127019	primary	17	PAIRED	ILLUMINA	WGS	6920434492	22915346
SRR13348676	tanzania	PRJNA686265	SAMN17127040	primary	18	PAIRED	ILLUMINA	WGS	6906328676	22868638
