donor_id	superpopulation	population_code	assembly_source	assembly_accession	selection_rank
AFR01	AFR	ESN	HPRC_R2	GCA_example_afr01	1
AFR02	AFR	ESN	HPRC_R2	GCA_example_afr02	2
AFR03	AFR	GWD	HPRC_R2	GCA_example_afr03	3
AFR04	AFR	LWK	HPRC_R2	GCA_example_afr04	4
AFR05	AFR	YRI	HGSVC3	GCA_example_afr05	5
AMR01	AMR	MXL	HGSVC3	GCA_example_amr01	1
AMR02	AMR	MXL	HGSVC3	GCA_example_amr02	2
AMR03	AMR	PUR	HGSVC3	GCA_example_amr03	3
AMR04	AMR	CLM	HGSVC3	GCA_example_amr04	4
AMR05	AMR	PEL	HGSVC3	GCA_example_amr05	5
EAS01	EAS	JPT	HPRC_R2	GCA_example_eas01	1
EAS02	EAS	JPT	HPRC_R2	GCA_example_eas02	2
EAS03	EAS	JPT	HPRC_R2	GCA_example_eas03	3
EAS04	EAS	JPT	HPRC_R2	GCA_example_eas04	4
EAS05	EAS	CDX	HPRC_R2	GCA_example_eas05	5
EUR01	EUR	TSI	HPRC_R2	GCA_example_eur01	1
EUR02	EUR	TSI	HPRC_R2	GCA_example_eur02	2
EUR03	EUR	GBR	HPRC_R2	GCA_example_eur03	3
EUR04	EUR	GBR	HPRC_R2	GCA_example_eur04	4
EUR05	EUR	FIN	HPRC_R2	GCA_example_eur05	5
SAS01	SAS	GIH	HPRC_R2	GCA_example_sas01	1
SAS02	SAS	GIH	HPRC_R2	GCA_example_sas02	2
SAS03	SAS	GIH	HPRC_R2	GCA_example_sas03	3
SAS04	SAS	GIH	HPRC_R2	GCA_example_sas04	4
SAS05	SAS	ITU	HPRC_R2	GCA_example_sas05	5
