chrom,status,path
1,ok,data/features/af/subpop_af_features.chr1.parquet
2,ok,data/features/af/subpop_af_features.chr2.parquet
3,ok,data/features/af/subpop_af_features.chr3.parquet
4,ok,data/features/af/subpop_af_features.chr4.parquet
5,ok,data/features/af/subpop_af_features.chr5.parquet
6,ok,data/features/af/subpop_af_features.chr6.parquet
7,ok,data/features/af/subpop_af_features.chr7.parquet
8,ok,data/features/af/subpop_af_features.chr8.parquet
9,ok,data/features/af/subpop_af_features.chr9.parquet
10,ok,data/features/af/subpop_af_features.chr10.parquet
11,ok,data/features/af/subpop_af_features.chr11.parquet
12,ok,data/features/af/subpop_af_features.chr12.parquet
13,ok,data/features/af/subpop_af_features.chr13.parquet
14,ok,data/features/af/subpop_af_features.chr14.parquet
15,ok,data/features/af/subpop_af_features.chr15.parquet
16,ok,data/features/af/subpop_af_features.chr16.parquet
17,ok,data/features/af/subpop_af_features.chr17.parquet
18,ok,data/features/af/subpop_af_features.chr18.parquet
19,ok,data/features/af/subpop_af_features.chr19.parquet
20,ok,data/features/af/subpop_af_features.chr20.parquet
21,ok,data/features/af/subpop_af_features.chr21.parquet
22,ok,data/features/af/subpop_af_features.chr22.parquet
