target,split,subset,feature_group,n_feats,model,n_train,n_test,pos_rate_test,AUROC,AUPRC,F1,balACC,ECE,chrom
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,168656,36493,0.3732,0.7843,0.7253,0.5661,0.6848,0.0615,1
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,187533,40402,0.3853,0.7850,0.7301,0.5625,0.6812,0.0622,2
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,158204,33914,0.3826,0.7926,0.7408,0.5861,0.6928,0.0620,3
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,138195,29198,0.3572,0.7990,0.7302,0.5539,0.6831,0.0620,4
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,133251,28789,0.3610,0.8079,0.7470,0.5802,0.6959,0.0650,5
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,185080,39832,0.4474,0.8200,0.8044,0.6940,0.7405,0.0618,6
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,87919,18564,0.3973,0.8236,0.7676,0.6114,0.7048,0.0830,7
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,114424,24640,0.3823,0.7972,0.7422,0.5984,0.7008,0.0563,8
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,89661,19424,0.3727,0.7903,0.7304,0.5780,0.6904,0.0557,9
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,103882,22306,0.3673,0.8196,0.7624,0.6076,0.7097,0.0619,10
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,111835,23806,0.3732,0.8066,0.7463,0.5898,0.6969,0.0672,11
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,100937,21891,0.3743,0.8130,0.7599,0.5972,0.7035,0.0699,12
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,66885,14209,0.3594,0.8282,0.7732,0.6211,0.7184,0.0670,13
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,63988,14106,0.3423,0.8209,0.7363,0.5804,0.6965,0.0535,14
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,65664,13909,0.3969,0.8114,0.7607,0.6266,0.7114,0.0631,15
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,29805,6340,0.2968,0.8470,0.7445,0.5789,0.7030,0.0466,22
